At 3:42 on July 28 , 1976 , a strong earthquake hit Tangshan .  ||| 一九七六年 七月 二十八日 三时 四十二分 ， 唐山 发生 强烈 地震 。
Um , for example , , the Lu jiatuo mine had a vertical-shaft ladder , and at the time there were more than a thousand people in the mine , male , female , old and young . ||| 吕家陀 矿 呢 它 是 竖井 的 梯子间 ， *T*-1 当时 滞留 井下 的 嘛 有 一千多 人 ， 男女老少 都 有 啊 ，
At the time it seemed like , the mine 's deputy manager , Jia Bangyou , he was very calmly commanding over a thousand people , keeping them not panicked . ||| 当时 好象 是 一 个 ， 副矿长 贾邦友 ， 这 时候 ， 很 镇定 的 就是 指挥 着 一千多 人 啊 ， 不 要 乱 。
First thing was avoiding panic , at every level , whatever responsibility was to be shouldered , you had to shoulder it , we just spoke about that , so there was a clear division of labor . ||| 首先 是 不 要 乱 ， 每 一 级 你 该 负 什么 责任 就 负 什么 责任 ， 咱们 刚才 讲 了 ， 就 是 使 ， 它 都 有 明确 的 分工 。
More than a thousand people , you can imagine if there was n 't excellent organization , a few would get trampled .  ||| 一千多 人 的 余震 不断 的 情况 下 ， 你 可以 想象 如果 没有 出色 的 组织 ， *pro* 踩 也 得 踩死 几 个 。
I was thinking , a few will get trampled .  ||| 我 这么 想 啊 ， *pro* 踩 也 得 踩死 几 个 。
At the time , Jia Bangyou said , go to a station at the mine 's mouth , women comrades come up first .  ||| 当时 贾邦友 就 ， 往 井口 一 站 ， 女 同志 先 上 ．
After all the women comrades had gone up , the new workers went up .  ||| 女 同志 上完 了 以后 ， 新 工人 上 。
There were regulations , , they had it in the document in writing , new workers go up .  ||| 有 规定 啊 ， 人家 在 人家 文件 里边 都 有 写 着 ， 新 工人 上 。
After the new workers had all gone up , the experienced older workers went up .  ||| 新 工人 上完 了 以后 *T*-1 有 经验 的 老 工人 上 ，
Finally , the CCP members came up last , and at the time Jia Bangyou said , CCP members come up last .  ||| 最后 ， 共产党员 最后 上 ， 贾邦友 当时 就 这么 讲 ， 共产党员 ， 最后 上 。
At the mouth of the mine , the people who had come up first did n 't leave , they stayed right there , enduring the aftershocks , and they waited right through to past 8:00 a .m . . ||| 在 井口 ， *T*-1 先 上井 的 人 都 没有 走 ， 他们 在 余震 中 一直 耐心 等待 ， 一直 等到 早上 八点多钟 ，
Jia Bangyou finally came back up to the surface safely .  ||| 贾邦友 最后 安全 返回 地面 ，
Not one of the Lu jiatuo Mine 's underground personnel had been lost ; more than a thousand people escaped death deep underground in this dangerous situation . ||| 吕家陀 矿井 下 工作 人员 无 一 伤亡 ， 一千多 人 在 *T*-1 险象 环生 的 地层 深 处 死里逃生 ，
They created an inspiring miracle underground , but it was not by accident .  ||| 他们 创造 了 井下 奇迹 让 人 感动 ， 也 绝 非 偶然 。
I really admire this group of CCP members who were at the Lu jiatuo Mine in 1976 .  ||| 我 真 钦佩 ， 这个 一九七六年 的 这个 吕家陀 矿 的 这 帮 共产党员们 ，
The CCP members who were at the Lu jiatuo Mine in 1976 were the last to come up .  ||| 一九七六年 的 吕家陀 矿 的 共产党员们 ， 他们 最后 上 。
Uh , after they had come up , no one at the mouth of the mine had left .  ||| 呵 ， 最后 上完 了 以后 ， 人们 在 井口 谁 也 没有 走 ，
Why ?  ||| 为什么 ？
Their mine boss , Jia Bangyou , had not yet come up .  ||| 他们 的 老 矿长 贾邦友 还 没有 上来 ，
Men , women , old and young were all at the mouth of the mine , not going anywhere .  ||| 男女老少 在 井口 谁 也 不 走 ，
Jia Bangyou came up , took a look at the crowd , all waiting there quietly , and he was very moved at that time .  ||| 贾邦友 上来 了 ， 一 看 大伙 都 ， 在 那 块 在 静静 等 着 自己 ， 当时 也 很 激动 ，
He said , Go on ! All of you go home ! Go see whether your families are still alive .  ||| 他 说 ， 走 吧 ！ 你们 都 回家 吧 ！ 去 看看 自己 的 亲人 死 了 没有 。
!  ||| （ （ 偷看 着 悠哉 吧 ！ ） ）
Qinglong County successfully issued the imminent earthquake warning , and 470 ,000 people in the entire county got through the disaster unscathed . ||| 青龙县 成功 发布 临震 预报 ， 全 县 四十七万 人 逢凶化吉 。
The Kailuan Mine Bureau has lost only seven out of 10 ,000 of its mine workers , which is a miracle of disaster preparedness . ||| 开滦 矿务局 井下 工人 阵亡 仅 万分之七 创造 了 防灾 抗灾 的 奇迹 。
And in the final analysis their success was manifested in their focusing on earthquakes .  ||| 而 他们 的 成功 归根结底 就 体现 在 他们 对 地震 的 重视 。
Possibly we should say , if , before the quake , the relevant national departments had taken seriously the news of the earthquake forecast , would the casualties have been so high ? ||| 或者 我们 这么 来 说 ， 如果 ， 事前 地震 曾经 被 预测 出来 的 消息 ， 得到 了 国家 有关 部门 的 重视 的话 ， 伤亡 还 会 这么 惨重 吗 ？
If it had been , it would n 't have been such a tragedy .  ||| 一 个 是 重视 ， 呃 ， 它 不 会 这么 惨重 。 那 肯定 没 这么 惨重 ，
If it had been , it would n 't have been such a tragedy .  ||| 上下 沟通 。 向 唐山 人民 打 个 招呼 。
If it had been , it would n 't have been such a tragedy .  ||| 啊 ， 尽管 你 没有 确定 的 日期 ，
There simply would n 't have been such a tragedy . If there had been communication at all levels , and the people of Tangshan had been warned . Uh , even if you do n 't have a definite date . ||| 一 个 是 重视 ， 呃 ， 它 不 会 这么 惨重 。 那 肯定 没 这么 惨重 ，
There simply would n 't have been such a tragedy . If there had been communication at all levels , and the people of Tangshan had been warned . Uh , even if you do n 't have a definite date . ||| 上下 沟通 。 向 唐山 人民 打 个 招呼 。
There simply would n 't have been such a tragedy . If there had been communication at all levels , and the people of Tangshan had been warned . Uh , even if you do n 't have a definite date . ||| 啊 ， 尽管 你 没有 确定 的 日期 ，
You ca n 't determine July 28 at 3:42 , that 's impossible .  ||| 不 可能 确定 七二八 三点四十二分 ， 这 是 不 可能 的 。
But there 's an approximate time frame , when the relatively big earthquake will probably occur , and that kind of a notice ought to be given out . ||| 但是 在 一 个 大致 的 时段 ， 要 发生 比较 大 的 地震 ， 打 这样 的 一 个 招呼 是 应该 做 得 到 的 。
And what exactly do you think was the reason that this was n 't done ?  ||| 那 *pro* 恰恰 没有 做到 的 原因 您 认为 是 什么 ？
The precise reason it was n 't done , you could say there were many factors involved .  ||| 恰恰 没有 做到 的 原因 ， 因素 *pro* 应该 说 是 很 多 ，
But the main factor , I believe , is that it was n 't taken seriously enough at the time , it was n 't taken seriously enough . ||| 但 最 主要 的 因素 我 觉得 ， 还 是 当时 重视 不 够 ， 重视 程度 不 够 。
Even though the Tangshan seismic monitoring network had , so many earthquake warning signs , uh ,  ||| 尽管 唐山 地震 监测网 有 这么 多 这么 多 的 地震 预报 ， 啊 ，
every province and city has so many emergency reporting offices , look at Tianjin , Beijing , Hebei , they all have emergency reporting stations . ||| 各 省 市 有 这么 多 的 告急 ， 你 看 天津 啊 ， 北京 啊 ， 河北 都 告急 。
 , they all had earthquake forecast opinions , but they did n 't attract enough attention .  ||| 他 不 他们 都 有 地震 预报 意见 ， 没有 引起 足够 的 重视 。
When you did your investigation , and you discovered that at the time China 's level was such as to be able to predict this earthquake , what did you think ? ||| 经过 了 您 的 调查 ， 在 您 发现 了 按照 当时 中国 的 水平 是 可以 预测 出来 这 场 地震 的 时候 ， 您 心里 是 怎么 想 的 ？
How can I explain this ?  ||| 怎么 说 这个 事 呢 ？
In earthquake forecasting , success means succeeding in your probing of the situation , and failure means failing in your probing . ||| 地震 预报 啊 ， 成功 也 是 探索 中 的 成功 ， 失败 也 是 探索 中 的 失败 。
 , I mean , the National Seismology Bureau should have predicted this earthquake coming .  ||| 我 至今 也 不 认为 就是说 ， 国家 地震局 你 应该 测出 这 次 地震 来 。
Rather , it 's in , the attitudes of some of the officials of the National Seismology Bureau .  ||| 而 在于 ， 国家 地震局 某些 官员 的 态度 ，
For example , , you take seriously , you come , your underlings forcefully request a meeting , you meet with them and you do it . ||| 你 比方说 ， 你 重视 ， 你 来 了 ， 下边 的 人 强烈 要求 会商 ， 你 会商 了 你 做 了 ，
If you ca n 't make a decision , it 's a matter of your level .  ||| 你 判断 不 出来 是 你 的 水平 问题 ，
Some of our officials are n 't--  ||| 咱们 有的 官员 不 是 。
This is also an issue that perplexes a lot of people , why is it that the masses  ' community monitoring stations can pick up abnormal data , but the specialists , the experts , do n 't detect anything ? ||| 这 也 是 一 个 *T*-1 让 很多 人 困惑 的 问题 ， 为什么 群众 的 群测点 可以 测 出来 异常 的 数据 ， 但是 专业 的 专家们 却 没有 任何 的 发现 ？
All I can say is , this is the sadness of 240 ,000 wronged souls of Tangshan .  ||| 这 我 只 能 说 是 唐山 二十四万 冤魂 的 悲哀 。
Really .  ||| 真的 。
The local people all saw it coming .  ||| 家乡 的 人们 都 测 出来 了 。
This book of mine , uh , on the title page I write , I wrote this for the people of the Tangshan Earthquake Monitoring Network ; I respectfully represent the 240 ,000 dead . ||| 我 这 本 书 ， 呃 ， 在 我 的 扉页 上 我 写 了 ，
This book of mine , uh , on the title page I write , I wrote this for the people of the Tangshan Earthquake Monitoring Network ; I respectfully represent the 240 ,000 dead . ||| 我 给 唐山 地震 检测网 的 人 写 了 ， 我 谨 代表 二十四万 的 死者 ，
I really wrote that I represented the dead , I do n 't represent the living .  ||| 我 真的 写 的 我 代表 死者 ， 我 不 代表 活人 ，
I respectfully represent the 240 ,000 Tangshan dead , and to the people of the former Tansghan , earthquake monitoring network , you predicted the Great Tangshan Earthquake , you reported the emergency , you made every effort . ||| 我 谨 代表 唐山 *T*-1 超过 二十四万 的 死者 ， 对 昔年 的 唐山 地测 ， 地震 检测网 的 人 说 ，
I respectfully represent the 240 ,000 Tangshan dead , and to the people of the former Tansghan , earthquake monitoring network , you predicted the Great Tangshan Earthquake , you reported the emergency , you made every effort . ||| 你们 曾经 预报 出 唐山 大 地震 ， 你们 告急 了 ， 也 尽力 了 。
You are the pride of the people of your home town !  ||| 你们 是 家乡 父老 乡亲 的 骄傲 ！
We love you ! And we pray for you !  ||| 我们 爱 你 ！ 并 为 你们 祈祷 ！
In your view , is it more important to maintain social stability in the region around the capital , or is it more important that a major earthquake may cost the lives of many people ? ||| 在 您 看来 是 这个 首都 周边 地区 的 社会 稳定 重要 呢 ， 还是 *T*-1 可能 会 发生 的 大 地震 会 导致 了 那么 多 人 的 生命 的 伤亡 重要 ？
 , in my view , of course it 's human life , definitely more important than anything else , that is my final appeal in my book . ||| 在 我 看来 ，
 , in my view , of course it 's human life , definitely more important than anything else , that is my final appeal in my book . ||| 在 我 看来 当然 是 人 的 生命 ， 高于 一切 ， 这 是 我 的 书 的 最后 我 的 呼吁 。
My appeal , one , this one , this one little crux .  ||| 我 的 呼吁 ， 一 ， 这 一 ， 这 一 小节 里边 。
Life is more important than anything else !  ||| 生命 高于 一切 ！
Regardless whether you  're , any country , any region , any race , any political party , people 's dignity , people 's lives are more important than anything else . ||| 不管 你 是 ， 任何 国家 ， 任何 地区 ， 任何 种族 ， 任何 政党 ， 人 的 尊严 ， 人 的 生命 高于 一切 。
This has always been the pain in the hearts of many Chinese seismologists .  ||| 一直 是 许多 中国 地震 专家 心中 永远 的 痛 。
Before the Great Tangshan Earthquake , China had medium-long-range forecasts , it had annual forecasts , it had imminent forecasts . ||| 唐山 大 地震 前 中国 有 中长期 预报 ， 有 年度 预报 ， 有 临震 预报 。 但 最后 ， 却 造成 *T*-1 超过 二十四万 人 罹难 的 严重 后果 ，
But in the end , the tragic result was that 240 ,000 people lost their lives .  ||| 唐山 大 地震 前 中国 有 中长期 预报 ， 有 年度 预报 ， 有 临震 预报 。 但 最后 ， 却 造成 *T*-1 超过 二十四万 人 罹难 的 严重 后果 ，
We should say there is a profound lesson in this .  ||| 这 其中 的 教训 ， 应该 说 是 相当 深刻 的 。
Why do you believe that the leaders involved need to take responsibility for this ?  ||| 为什么 您 会 认为 有关 的 领导 需要 为此 来 负责 ？
Maybe for them it was just an inadvertent mistake , or an oversight .  ||| 也许 他们 只 是 一 个 无心上 的 失误 ， 或者是 忽略 。
I believe they ought to , , have held a meeting , and maybe reduced the losses .  ||| 我 是 觉得 他们 应当 ， 这个 ， 开 一 个 会商会 减轻 损失 ，
Therefore the Tangshan earthquake , I still say , we are not at the levels , , to forecast on time , on July 28 , 1976 , at approximately 3:42 . ||| 所以 唐山 地震 ， 我 还是 讲 ， 我们 没有 水平 ， 预报 ， 在 时间 上 预报 ， 一九七六年 七月 二十八号 约 三点四十二分 ，
But we are at the level where we can say , in late July or early August , in that week of time ,  ||| 但是 我们 有 水平 说 ， 七月 底 八月 初 这 一 周 的 时间 里面 ，
 , this all could have been said .  ||| 这个 我们 ， 完全 可以 讲 的 出去 的 嘛 。
We  're not at the level to report that Tangshan City , the small area of Fengnan in Tangshan , but we can report for the Beijing , Tianjin , Tangshan and Zhangjiakou area . ||| 我们 没有 水平 ， 报 唐山市 ， 唐山 凤南 这么 一 个 小 地方 ， 但是 我们 可以 报 京 津 唐 张 地区 。
 , we have already , very clearly said that .  ||| 这个 已经 ， 我们 已经 ， 很 明确 的 在 讲 了 。
We ca n 't correctly predict a 7 .8 earthquake , but we can forecast an above 5 .0 , even above 6 .0 , or even that not excluding a 7 .0 earthquake , that we can say . ||| 我们 报 不 准确 七点八 这个 震级 ， 但是 我们 可以 报 五 级 以上 甚至于 六 级 以上 ， 甚至于 还 不 排除 七 级 地震 ， 这个 是 可以 讲 的 。
If you look at the Tangshan disaster records , many people might get the impression that the Great Tangshan earthquake was not just a natural disaster , but that it was made up of many human disasters . ||| 看 了 唐山 警世录 ， 很多 人 会 有 一 种 印象 ， 说 唐山 大 地震 可能 并不 仅仅 只 是 一 个 天灾 ， 它 还 有 很多 人祸 的 成份 ， 您 怎么 看 呢 ？
How do you see that ?  ||| 看 了 唐山 警世录 ， 很多 人 会 有 一 种 印象 ， 说 唐山 大 地震 可能 并不 仅仅 只 是 一 个 天灾 ， 它 还 有 很多 人祸 的 成份 ， 您 怎么 看 呢 ？
 , , , it 's a question I ca n 't answer clearly here , I mean , to be precise , , in addition to a natural disaster it 's also a human disaster . ||| 这 就 是 我 刚才 你 问 我 ， 我 ， 我 也 回答 不 清楚 的 问题 就 在 这里 ， 就是说 确确实实 ， 要 要 ， 除了 天灾 还 有 人祸 。
That included at the time , , in terms of politics , certainly some campaigns like the Gang of Four , had an effect , , that 's one thing . ||| 那 就 是 包括 当时 的 ， 这个 ， 在 政治 上 呢 那个 ， 四人帮 的 一些 活动 也 是 有 有 有 一定 的 作用 ， 这 是 这 是 这 是 一 方面 ，
But , I mean , people who are responsible for the earthquake-related decision-making , they did n 't do their duty and their responsibility to their utmost . ||| 但 *T*-1 更 重要 的 就 是 我们 ， 有些 ， 就是说 *T*-2 身负 震情 决策 的 人 ， 他们 没有 尽职尽责 。 ． ／
The price paid for the Great Tangshan Earthquake was 240 ,000 lives tragically lost , and that will forever be part of history ; ||| 唐山 大 地震 以 *T*-1 超过 二十四万 鲜活 生命 的 悲逝 为 代价 ， 永远 地 载入 了 史册 ， 人类 在 这 场 大 劫难 中 应该 得到 什么 启示 ？
what lessons should mankind learn from this great disaster ?  ||| 唐山 大 地震 以 *T*-1 超过 二十四万 鲜活 生命 的 悲逝 为 代价 ， 永远 地 载入 了 史册 ， 人类 在 这 场 大 劫难 中 应该 得到 什么 启示 ？
Can the tragedy of the Great Tangshan Earthquake ever be repeated ?  ||| 唐山 大 地震 的 悲剧 ， 能否 不再 重演 ？
What is even more unexpected is that two Chinese seismologists who precisely predicted the Tangshan quake and who have spent a lifetime doing earthquake research coincidentally believe that China has not made progress in earthquake ||| 然而 *T*-1 让 人 意想不到 的 是 ， 两 位 *T*-2 曾经 对 唐山 地震 作出 准确 震前 预报 ， 做 了 一辈子 地震 科学 研究 的 中国 地震 专家 ， 不约而同 地 认为 中国 地震
If the thing were to , happen in today 's China , do you think disaster could be avoided ?  ||| 如果 ， 事情 再 一 次 发生 在 今天 ， 发生 在 今天 的 中国 ， 您 认为 灾难 是 可以 避免 的 吗 ？
Now it could not be avoided , now China does n 't have , uh , this capacity .  ||| 现在 不 可 避免 ， 现在 中国 没有 ， 噢 这 种 能力 。
So in terms of China , it does n 't have this capacity .  ||| 就是 作为 中国 来说 ， 没有 这 种 能力 。
In today 's China the level of earthquake forecasting , I believe , compared to before the Tangshan earthquake , has fallen , has slipped by a wide margin . ||| 今天 中国 的 地震 预测 预报 的 水平 ， 我 认为 比 唐山 地震 之前 大幅度 地 下降 ， 下滑 。
If we were once again to continue focusing on earthquake preparedness as before Premier Zhou died , with the policy of the experts and the masses working together , and combining Chinese and foreign methods , then , earthquake forecasting ||| 如果 ， 再 继续 坚持 周 总理 生前 的 就 地震 预防 为主 ， 专群 结合 ， 土洋 结合 的 方针 。 那么 ， 地震 预报 还 会 走 得 很 好 的 。
Now we  're , out of two legs , missing one leg .  ||| 现在 是 两 条 腿 缺 ， 缺 了 一 条 腿 ，
Experts and the masses working together , with the masses monitoring and working on preparedness , it 's all , been weakened . ||| 专群 结合 ， 群测 群防 ， 都 削 ， 都 削弱 了 。
And that 's very disturbing .  ||| 那 就 很 麻烦 了 。
Looking at it in terms of the Great Tangshan Earthquake , monitoring and preparedness by the masses and monitoring of ground stress have already been proven ; ||| 那 从 唐山 大 地震 来看 ， 群测 群防 和 地应力 的 监测 都 已经 被 证明 了 。 应该 是 有效 的 ， 怎么 就 得 不 到 重视 ？
they should be effective , so why are n 't they being taken seriously ?  ||| 那 从 唐山 大 地震 来看 ， 群测 群防 和 地应力 的 监测 都 已经 被 证明 了 。 应该 是 有效 的 ， 怎么 就 得 不 到 重视 ？
But that ca n 't be , , the Seismology Bureau system , uh , acknowledges , oh !  ||| 但是 这个 不 会 就是 ，
But that ca n 't be , , the Seismology Bureau system , uh , acknowledges , oh !  ||| 地震局 系统 说 ， 啊 承认 ， 在 ， 呃 ！
In the ,  '80s , exactly which year I 'm not sure , a conference was held in Quanzhou , we who believe in monitoring and preparedness by the masses call it the three earths , earth electricity , earth stress , and earth magnetism , they denied ||| 在 九 ， 八十年代 ， 具体 哪 年 我 记 不 清 了 ， 在 泉州 开 了 一 次 会议 ， 就 把 ， 群测 群防 的 *T*-1 我们 叫做 三 土 ， 就 土 地电 ， 土 应力 ， 土 地磁
I say the method of monitoring and preparedness by the masses used before the Tangshan quake , and methods that produced this prediction . ||| 说 唐山 地震 之前 群测 在 用 的 方法 ， 而且 *pro* 作出 预测 的 这些 方法 。
And also before an earthquake in coastal cities , the method of monitoring and preparedness by the masses , in  ||| 还 有 海城 地震 之前 ， 群测 预测 地震 的 方法 。 在
