Abramov had a car accident in Moscow last night and was seriously injured .  ||| 阿布拉莫夫 昨天 晚上 在 莫斯科 遭遇 了 车祸 ， 并且 身受 重伤 。
Uh-huh .  ||| 嗯 。
The US also wants to go beyond Japan to keep good relations with China , South Korea , and other Asian countries .  ||| 美国 还 要 越过 日本 ， 还 要 和 中国 ， 韩国 等 亚洲 国 ， 国家 搞好 关系 ， 所以 ， 他 这样 越 ， 越 追随 美国 呀 ， 他 在 亚洲 ， 实际上 地位 是 越来越 低 。
Therefore , the more he follows the US , the lower will be his actual status in Asia .  ||| 美国 还 要 越过 日本 ， 还 要 和 中国 ， 韩国 等 亚洲 国 ， 国家 搞好 关系 ， 所以 ， 他 这样 越 ， 越 追随 美国 呀 ， 他 在 亚洲 ， 实际上 地位 是 越来越 低 。
Uh-huh .  ||| 嗯 嗯 。
It is impossible .  ||| 不 可能
Right , his idea was actually criticized and opposed by some politicians even in Japan .  ||| 他 的 这 种 说法 呢 实际上 在 日本 的 国内 呢 ， 也 遭到 了 一些 政治家 的 批评 ， 对 ， 和 反对 ，
He was strongly criticized and increasingly isolated .  ||| 强烈 的 批评 ， 越来越 孤立 。
Ah .  ||| 哎 哎 ，
The domestic economy was also affected .  ||| 在 国内 也 经济 关系 也 受 影响 。
Many people also mentioned , by valuing the US alone , you are ignoring Asia .  ||| 很多 人 也 谈到 了 ， 你 只 重视 美国 ， 等于 就 是 忽视 了 亚洲 。
Yes .  ||| 是 的 。
Now many media all issued statements and editorials .  ||| 现在 很多 媒体 都 发表 声明 ， 社论 了 。
Therefore , some people also compared this diplomacy of his to a lame diplomacy .  ||| 所以 呢 ， 有 人 把 他 的 这 种 外交 呢 ， 对 。 也 比喻 为 是 一 个 跛脚 外交 ，
Yeah .  ||| 是 的 ，
He--  ||| 他 。
Could he walk steadily with a lame diplomacy ?  ||| 他 跛脚 外交 能 走 得 稳 吗 ？
Eh , as far as Koizumi himself is concerned , what is his problem ?  ||| 嗯 ， 就是 小泉 自己 ， 他 问题 在于 什么 呢 ？
Uh-huh .  ||| 嗯 嗯 。
He himself , ah , er , what should we say ? He does not respect and acknowledge reality .  ||| 他 自己 啊 ， 呃 ， 一 怎么 说 呢 ？ 他 不 尊重 ， 不 承认 现实 ， 实际上 在 自欺欺人 是 一些 说法 ，
Actually , some people say he is deceiving himself as well as others .  ||| 他 自己 啊 ， 呃 ， 一 怎么 说 呢 ？ 他 不 尊重 ， 不 承认 现实 ， 实际上 在 自欺欺人 是 一些 说法 ，
Uh-huh .  ||| 嗯 嗯 ，
For instance , this time at the APEC meeting in Pusan , when he mentioned , er , Japan 's relations with China , he still used this kind of , that is to say , rhetoric , to defend himself . ||| 比如说 呢 ， 他 在 这 次 呢 ， 这个 釜山 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ ， 他 谈到 ， 呃 ， 日本 同 中国 的 关系 的 时候 ， 他 ， 仍然 用 这 种 ， 就是说
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
He said , er , , ah , right now , Japan-China relations are not like , er , what the international community is worried about .  ||| 他 说 呃 ， 中 日 关系 啊 ， 日 中 关系 现在 并不 那么 像 ， 呃 ， 国际 社会 所 担心 的 那样 。
Uh-huh .  ||| 嗯 嗯 。
Well , the economic trade development in our two countries is going on quite well .  ||| 那么 我们 两 国 的话 ， 这个 经济 贸易 ， 发 ， 发展 的 还 很 好 。
In fact , we can say he does not understand the current status of Sino-Japanese relations .  ||| 其实 呢 ， 可以 说 呢 ， 他 不 了解 呢 ， 目前 中 日 关系 的 现状 。
Uh-huh .  ||| 嗯 。
Actually , due to his visit to Yasukuni Shrine and the cooling down of the political relationship , Sino-Japanese relations have suffered severe blows . ||| 实际上 中 日 关系 ， 已经 从 什么 ， 由于 他 参拜 靖国神社 ， 由于 政治 关系 的 冷淡 ， 经 ， 对 对 。 对 ， 对 ， 造成 了 一 个 非常 大 的 打击 ，
He is only indulging in his unilateral wishful thinking .  ||| 他 只 是 一厢情愿 地 这么 想 ，
It is only what he thinks .  ||| 怎么 认为 。
Uh-huh .  ||| 嗯 嗯 。
We can see some concrete figures .  ||| 我们 可以 看到 一些 具体 数字 ， 比如说 呢 ， 今年 一 到 八月份 。 最新 的 统计 显示 ， 那么 呢 ， 日本 对 华 的 出口 ， 按 中方 的 统计 只 有 ， 只 增长 了 百分之三点二 。
For instance , from January to August this year , the latest statistics show that Japan 's exports to China grew only by 3 .2 % according to China 's statistics . ||| 我们 可以 看到 一些 具体 数字 ， 比如说 呢 ， 今年 一 到 八月份 。 最新 的 统计 显示 ， 那么 呢 ， 日本 对 华 的 出口 ， 按 中方 的 统计 只 有 ， 只 增长 了 百分之三点二 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
It grew only by 5 .8 % according to Japan 's statistics .  ||| 按照 日方 的 统计 只 增长 了 百分之五点八 。
Uh-huh .  ||| 嗯 嗯 。
Well , in previous years , it was always more than 25 % .  ||| 那么 按 往年 都 是 在 百分之二十五 以上 。 也 就是说 呢 ， 日本 对 华 出口 在 大 幅度 的 下降 。
In other words , Japan 's exports to China were declining sharply .  ||| 那么 按 往年 都 是 在 百分之二十五 以上 。 也 就是说 呢 ， 日本 对 华 出口 在 大 幅度 的 下降 。
More than 25 % .  ||| 二十五 以上 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , at the same time , with respect to Japan 's investment in China , during the first half of last year , Japan 's investment projects in China decreased by 8 .2 % while the contractual amount decreased by 0 .4 % . ||| 那么 同时 在 日本 对 华 投资 的 部分 呢 ， 日本 呢 前 上半年 吧 ， 大概 对 华 投资 的 项目 减少 了 百分之八点二 ， 这个 协议 合同 的 金额 呢 减少 了 百分之零点四 ， 这 都 说明 了 由于
They both showed that due to the cooling down of the political relationship , well , the economic relations between China and Japan have already been severely affected . ||| 那么 同时 在 日本 对 华 投资 的 部分 呢 ， 日本 呢 前 上半年 吧 ， 大概 对 华 投资 的 项目 减少 了 百分之八点二 ， 这个 协议 合同 的 金额 呢 减少 了 百分之零点四 ， 这 都 说明 了 由于
Uh-huh .  ||| 嗯 嗯 ，
Uh-huh .  ||| 嗯 。
In addition , there has also been the impact on the feelings of peoples of the two countries .  ||| 还 有 就是 在 国民 之间 ， 造成 两 国 国民 感情 的 这样 的 一 种 。 影响 吧 。
Yeah .  ||| 对 。
Originally , Koizumi 's key fallacy for his visits to Yasukuni Shrine was that my visits would not affect in any way our relations with Asia . ||| 本来 小泉 这个 参拜 靖国神社 ， 他 有 一 个 ， 重要 的 一 个 谬论 就说 ， 我 怎么 参拜 也 不 影响 与 亚洲 的 关系 嘛 ，
Uh-huh .  ||| 嗯 嗯 。
It is not like that in reality .  ||| 实际上 不 是 这样 ，
Uh-huh .  ||| 嗯 嗯 。
Well , when Koizumi visits Yasukuni Shrine , he is betting on the national interests of Japan .  ||| 这 是 小泉 参拜 靖国神社 都 是 拿 日本 的 国家 利益 做 赌注 ， 就说 ， 就 是 把 日本 国际 形象 和 国家 利益 都 廉价 地 出卖 的 ，
That is to say , he is selling the international image and national interests of Japan at cheap prices .  ||| 这 是 小泉 参拜 靖国神社 都 是 拿 日本 的 国家 利益 做 赌注 ， 就说 ， 就 是 把 日本 国际 形象 和 国家 利益 都 廉价 地 出卖 的 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
So this is being paid at a heavy price .  ||| 所以 付出 惨重 的 代价 这 是 。
Uh-huh .  ||| 嗯 嗯 。
Many Japanese people also see that this does not conform to Japan 's own fundamental interests , ah , as a country with so many international , um , interests . ||| 很多 日本人 也 看到 ， 这 并不 符合 日本 作为 一 个 ， 啊 *T*-1 就是 在 国际 上 拥有 这么 多 这个 ， 嗯 ， 哎 利益 的 这样 一 种 ， 国家 的 这样 ， 这样 一 种 自己 根本 利益 ，
Interests .  ||| 利益
with national interests .  ||| 有 民族性 的 利益 的 （ （ ） ）
At the same time , it also actually denigrates Japan 's image .  ||| 同时 呢 ， 也 也 实际上 是 给 日本 的 脸 上 抹黑 。
Uh-huh .  ||| 嗯 。
Well , with regard to Koizumi 's diplomatic thinking , there is still , that is , one question .  ||| 那么 从 呃 小泉 这个 外交 思路 上 来讲 ， 还 有 一 点 呢 ， 就 是 ， 呃 ， 有 一 个 问题 啊 ， 大家 也 可能 会 经常 问 ， 这样 一 个 问题 ， 作为 一 个 国家 来 ， 来讲 ，
Ah , people may also frequently ask such a question that since it is the most important thing for a country to keep good relationship with its neighboring countries , why would Japan want to seek far and wide for what lies close at hand ? ||| 那么 从 呃 小泉 这个 外交 思路 上 来讲 ， 还 有 一 点 呢 ， 就 是 ， 呃 ， 有 一 个 问题 啊 ， 大家 也 可能 会 经常 问 ， 这样 一 个 问题 ， 作为 一 个 国家 来 ， 来讲 ，
Right .  ||| 对 。
Out of what consideration is he doing this ?  ||| 他 这 是 出于 一 个 什么样 的 ，
Well , um , this Prime Minister Koizumi , ah , first of all , personally , he is an individual with a kind of belief , a very rightist political belief . ||| 这个 ， 这个 小泉 这个 首相 啊 ， 他 是 ， 首先 是 *T*-1 他 个人 的 这个 ， 一 种 这个 信念 吧 ， 政治 信念 非常 这个 偏 右 的 一 个 人 。
Well , it also precisely reflects a current political trend of forces surrounding the Koizumi administration .  ||| 那么 他 正好 又 反映 了 当前 这个 小泉 周围 执政 势力 的 一 个 政治 倾向 ，
Uh-huh .  ||| 嗯 嗯 。
It also reflects that nowadays Japan , in its eagerness to become a political power , well , wants to take advantage of the sentiments of extreme nationalism to move toward and realize this goal . ||| 也 反映 了 当前 日本 呢 ， 就 处于 一 种 这个 急于 走向 政治 大 国 ， 那么 想 利用 这个 极端 民族主义 情绪 ， 走 ， 实现 这个 目标 ，
For instance , they have , a kind of wrong doing .  ||| 比如说 ， 他们 一 种 有 一 种 错误 的 做法 ， 就是说 日本 想 成为 真正 的 一 个 *T*-1 受到 尊重 的 大 国 呀 ， 必须 摆脱 二战 这个 ， 战败国 的 帽子 啊 ， 侵略国 的 帽子 。
That is to say , if Japan wants to become a powerful country commanding true respect , it must get rid of the name of a defeated country , the name of an aggressor country in World War II . ||| 比如说 ， 他们 一 种 有 一 种 错误 的 做法 ， 就是说 日本 想 成为 真正 的 一 个 *T*-1 受到 尊重 的 大 国 呀 ， 必须 摆脱 二战 这个 ， 战败国 的 帽子 啊 ， 侵略国 的 帽子 。
Uh-huh .  ||| 嗯 嗯 。
So , they chose a very dangerous road .  ||| 所以 他们 选择 了 一 条 非常 危险 的 一 条 道路 。
Uh-huh .  ||| 嗯 嗯 。
That is to say , it tries to become a decent country by negating its history as an aggressor .  ||| 就是说 用 否认 侵略 历史 的 做法 ， 来 成为 体面 的 国家 ， 这个 恰恰 就是说 走 不 通 的 。
This is exactly a road that leads nowhere .  ||| 就是说 用 否认 侵略 历史 的 做法 ， 来 成为 体面 的 国家 ， 这个 恰恰 就是说 走 不 通 的 。
Uh-huh .  ||| 嗯 嗯 。
Well , this road he takes will surely isolate Japan from the international community and will definitely not make it a political power in the end . ||| 那么 他 这 种 ， 这 条 道路 肯定 是 孤立 于 国际 社会 的 做法 ， 肯定 是 成 不 了 最终 的 政治 大 国 ，
Uh-huh .  ||| 嗯 嗯 。
Well , he chose the wrong road .  ||| 那么 他 是 选择 了 错误 的 一 条 道路 。
Ah , in addition , from his point of view , he is counting on his luck to a large extent .  ||| 啊 另外 从 他 来说 啊 ， 他 有 很 大 的 侥幸 心理 ， 也 可以 说 ， 他 旁边 的 一些 智囊 人物 ， 大概 给 他 出 点子 出歪 了 ，
We can also say that some think tank people around him may have given him the wrong idea .  ||| 啊 另外 从 他 来说 啊 ， 他 有 很 大 的 侥幸 心理 ， 也 可以 说 ， 他 旁边 的 一些 智囊 人物 ， 大概 给 他 出 点子 出歪 了 ，
Perhaps he was misled , wow .  ||| 可能 也 有 误导 ， 哇 。
Ah .  ||| 哎 哎 。
For example , regarding his visits to Yasukuni Shrine , , he says , if I , keep doing it like this , China , South Korea , ah , , that is to say , you will , grow tired of protesting . ||| 他 就是 认为 呢 ， 比如 参拜 靖国神社 问题 ， 他 就是说 呢 ， 我 就是 坚持 这么 干 ， 这样 做来 做去 呢 ， 你 中国 ， 韩国 啊 ， 你 ， 你 就是说 呢 ， 出现 了 抗议 疲劳症 了
Once you see a lot of it , you will get used to it .  ||| 见 多 了 你 就 不 怪 了 ， 你 就 习惯 了 ，
So , you will swallow the bitterness while I keep doing like this .  ||| 所以 你 就 可以 吞下 苦果 ， 我 就 可以 这样 做 下去 。
Uh-huh .  ||| 嗯 嗯 。
However , it turns out to be exactly the opposite .  ||| 但是 适得其反 ， 他 不 知道 这个 问题 的 可以 说 给 日本 闯 了 一 个 大祸 。
He did not know this issue could bring big trouble to Japan .  ||| 但是 适得其反 ， 他 不 知道 这个 问题 的 可以 说 给 日本 闯 了 一 个 大祸 。
He did not know the seriousness of the issue .  ||| 他 不 知道 这个 问题 的 严重性 ，
 , this is an issue of principle .  ||| 这 是 一 这 是 原则 问题
Right .  ||| 对 。
Well , we can say that an overall review of the current diplomatic status of Japan should show two clear roads .  ||| 那么 可以 说 纵观 目前 日本 的 外交 的 现状 呢 ， 应该 说 有 清晰 的 两 条 路 哈 ， 一 条 呢 就 是 一味 地 追随 美国 ， 这 是 它 的 一 条 很
Ha , one is to follow the US blindly , which is one of its very important diplomatic lines .  ||| 那么 可以 说 纵观 目前 日本 的 外交 的 现状 呢 ， 应该 说 有 清晰 的 两 条 路 哈 ， 一 条 呢 就 是 一味 地 追随 美国 ， 这 是 它 的 一 条 很
And we can also see the other one , that is , to continue damaging the relations with its close neighbors  ||| 还 有 一 个 呢 ， 也 能 看 的 出来 ， 就 是 不断 地 跟 自己 的 近邻 交恶 。
Well , speaking of this , we can also figure out that Koizumi has seriously damaged the feelings of his Asian neighboring countries several times since he took office as Japan 's prime minister in 2001 . ||| 那么 说到 这 一 点 呢 ， 我们 也 可以 统计 了 一下 ， 就是 从 二零零一年 小泉 出任 日本 首相 以来 呢 是 ， 多 次 严重 地 伤害 了 他 的 亚洲 邻国 的 感情 。
We compiled a background video clip here , and let 's learn about some relevant information together .  ||| 我们 这儿 也 做 了 一 个 背景 短片 ， 大家 呢 一起 来 了解 一下 相关 的 情况 。
In February 2005 , just one day after Chinese people 's traditional Spring Festival , the Japanese government claimed the lighthouse set on Diaoyu Island by Japan 's extreme rightist group without permission as its national property and put in ||| 二零零五年 二月 ， 中国人 的 传统 节日 春节 刚刚 过去 一 天 ， 日本 政府 将 日本 极 右翼 团体 擅自 在 钓鱼岛 上 设立 的 灯塔 作为 所谓 国有 财产 收归 日本国 管理 。
On March 16 , 2005 , Japan 's Shimane Prefecture assembly voted to pass a measure bill concerning Takeshima Day and officially designated February 22 as Takeshima Day . ||| 二零零五年 三月 十六号 ， 日本 岛根县 议会 表决 通过 了 竹岛 日 的 条例 提案 ， 正式 把 二月 二十二号 定为 竹岛 日 ， 使得 这个 *T*-1 离 韩国 郁陵岛 只 有 九十多 公里 的 小 岛
As a result , this small island just a bit over 90 kilometers from Utsuryo Island , South Korea , again triggered a diplomatic conflict between the two countries . ||| 二零零五年 三月 十六号 ， 日本 岛根县 议会 表决 通过 了 竹岛 日 的 条例 提案 ， 正式 把 二月 二十二号 定为 竹岛 日 ， 使得 这个 *T*-1 离 韩国 郁陵岛 只 有 九十多 公里 的 小 岛
South Korea thinks that this island called Dokdo Island has always been a Korean territory .  ||| 韩国 认为 ， 这个 *T*-1 名叫 独岛 的 岛屿 历来 是 韩国 固有 领土 。
On April 1 , 2005 , the Japanese Ministry of Education approved a new edition of history textbooks compiled by the new history textbook compilation committee and published by Fusosha Publishing House and announced the result officially on ||| 二零零五年 年 四月 一号 ， 日本 文部省 批准 了 *T*-1 由 新 历史 教科书 编撰会 编撰 ， 扶桑 出版社 出版 的 一 本 新版 历史 教科书 ， 并 在 四月 五号 正式
There are very few amendments in the new edition of Japanese history textbooks .  ||| 新版 日本 历史 教科书 只 进行 了 很 少 的 修订 ， 关于 旧 版 中 *T*-1 歪曲 历史 ， 否认 侵略 罪行 的 部分 并没有 改动 ， 反而 加入 了 日本 对 韩国 独岛 以及 中国 钓鱼岛 拥有
The parts of the old version that twisted the history and denied its crime of aggression remained unchanged .  ||| 新版 日本 历史 教科书 只 进行 了 很 少 的 修订 ， 关于 旧 版 中 *T*-1 歪曲 历史 ， 否认 侵略 罪行 的 部分 并没有 改动 ， 反而 加入 了 日本 对 韩国 独岛 以及 中国 钓鱼岛 拥有
Instead the Japanese claims of sovereignty of South Korea 's Dokdo Island and China 's Diaoyu Island were added .  ||| 新版 日本 历史 教科书 只 进行 了 很 少 的 修订 ， 关于 旧 版 中 *T*-1 歪曲 历史 ， 否认 侵略 罪行 的 部分 并没有 改动 ， 反而 加入 了 日本 对 韩国 独岛 以及 中国 钓鱼岛 拥有
With regard to the Yasukuni Shrine where class A WW II criminals are honored , in spite of opposition from all sides , Koizumi persistently paid a series of five visits there from 2001 to 2005 . ||| 对于 *T*-1 供奉 着 二战 甲 级 战犯 的 靖国神社 ， 小泉 则 不 顾 各 方 反对 ， 一意孤行 ，
With regard to the Yasukuni Shrine where class A WW II criminals are honored , in spite of opposition from all sides , Koizumi persistently paid a series of five visits there from 2001 to 2005 . ||| 从 二零零一年 到 二零零五年 ， 连续 五 次 进行 参拜 。
Koizumi has been in office for , four years .  ||| 小泉 呢 ， 上任 已经 四 年 了 ， 四 年 了 ，
Well , during these four years , we can say , er , nothing has been much improved , whether in internal affairs or diplomacy .  ||| 那么 在 这 四 年 中 呢 ， 可以 说 ， 呃 ， 无论是 从 他 的 内政 还是 外交 上 来看 呢 ， 都 没有 大 的 起色 。
Originally , Koizumi , ah , took office because he won a very high support rating as a reformer .  ||| 当初 呢 ， 小泉 是 以 改革者 的 形象 ， 啊 获得 了 很 高 的 支持率 上台 的 ，
Eh , at that time , he pledged to reform Japan 's internal political and economic situations .  ||| 嗯 ， 当时 呢 ， 他 是 发誓 要 改革 日本 的 国内 的 政治 和 还有 经济 形势 。
However , based on the current status of internal affairs , his reform , ah , did not result , er , in what was expected at that time . ||| 但是 现在 从 内政 上 来看 呢 ， 他 的 这个 改革 收到 的 期效 ， 啊 效果 ， 呃 也 没有 像 *pro* 当初 所 期望 的 那样 。
In the diplomatic field , there has been constant friction with neighboring countries .  ||| 在 外交 上 呢 ， 不断 地 跟 邻国 呢 发生 这 种 摩擦 。
So , right now , another important question is how exactly people in Japan view Koizumi 's diplomatic or internal policies , Professor Jin ? ||| 所以 现在 还 有 一 个 很 重要 的 问题 ， 就说 ， 日本 的 国内 的 民众 ， 到底 对 小泉 的 这 种 ， 外交 或者 内政 的 政策 是 怎么 看 的 ， 金 教授 ？
Well , this is , let 's say that Japanese people now have finally started to cool down in their attitude toward , this kind of impulsive actions . ||| 这个 就是说 ， 小 ， 日本 国内 终于 啊 ， 对 他 ， 这 种 做法 的 ， 这 种 一时 的 冲动 啊 ， 现在 开始 冷却 下来 了 ，
Uh-huh .  ||| 嗯 嗯 。
Well , we know that among major Japanese newspapers , that is , the most dominant newspapers expressing popular opinions , ranging from Asahi Shimbun to Tokyo Shimbun , etc , well , recently , even Yomiuri Simbun , which originally expressed ||| 那么 我们 知道 日本 主要 报纸 ， 就 是 表现 ， *T*-1 表现 民意 的 最 主要 报纸 ， 就 从 朝日新闻 ， 到 这个 东京 新闻 等等 ， 那么 现在 最近 呢 ， 就 *T*-2 原来 对 小泉
Uh-huh .  ||| 嗯 嗯 。
That is to say , their tones might be different , but the consensus of Japanese public opinion is that relations with Asian countries must be improved . ||| 就是说 ， 他们 的 这个 调子 虽然 有所 不同 ， 但是 日本 舆论 一致 想法 ， 就说 ， 要 改善 与 亚洲 关系 ， 所以 这个 已经 成 了 日本 舆论 主 ， 主 旋律 ，
So , this has already become the mainstream Japanese public opinion .  ||| 就是说 ， 他们 的 这个 调子 虽然 有所 不同 ， 但是 日本 舆论 一致 想法 ， 就说 ， 要 改善 与 亚洲 关系 ， 所以 这个 已经 成 了 日本 舆论 主 ， 主 旋律 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , specifically , it means prohibiting visits to Yasukuni Shrine .  ||| 那么 在 具体 来说 ， 就是 禁止 参拜 靖国神社 ， 这个 已经 从 自民党 内 到 所有 在野 党 都 反对 ，
This has been opposed by the Liberal Democratic Party and all opposition parties .  ||| 那么 在 具体 来说 ， 就是 禁止 参拜 靖国神社 ， 这个 已经 从 自民党 内 到 所有 在野 党 都 反对 ，
Well , we know that the most important pillar in Japan that supports the Japanese society is the Japanese business community . ||| 那么 我们 知道 ， 日本 这个 ， *T*-1 支撑 日本 社会 最 重要 的 一 个 支柱 就 是 日本 经济界 ，
Well , the heads of several groups in the business community , for instance , the Japan Business Federation and the Japan Committee for Economic Development , all had frequent direct meetings with Koizumi , strongly cautioning him not to visit ||| 那么 几 个 经济界 团体 ， 比如说 经团联 还有 这个 经济 同友会 等等 ， 这个 他们 会长 ， 都 是 三番五次 地 这个 直接 面见 小泉 ， 就是 力谏 他 ， 就 不 要 参拜 靖国神社 ，
Well , the heads of several groups in the business community , for instance , the Japan Business Federation and the Japan Committee for Economic Development , all had frequent direct meetings with Koizumi , strongly cautioning him not to visit ||| 嗯 嗯 。
Well , the heads of several groups in the business community , for instance , the Japan Business Federation and the Japan Committee for Economic Development , all had frequent direct meetings with Koizumi , strongly cautioning him not to visit ||| 嗯 。
Well , the heads of several groups in the business community , for instance , the Japan Business Federation and the Japan Committee for Economic Development , all had frequent direct meetings with Koizumi , strongly cautioning him not to visit ||| 因为 我们 这个 日本 在 国际 上 生存 不 下去 ， 我们 经济 就 要 受到 损害 了 。
Uh-huh .  ||| 嗯 嗯 。
As a result , nowadays , Koizumi should be utterly isolated not only internationally but also domestically .  ||| 所以 现在 小泉 应 应该 是 不但 在 国际 上 是 四面楚歌 吧 ， 那么 国内 也 差不多 了 ， 也 是 四面楚歌 的 这样 一 个 局面 。
Uh-huh .  ||| 嗯 嗯 。
Right .  ||| 对 。
Well , to Japanese people , what they are more concerned with is , for example , how my economy is developing , how my life will be , whether the national interests will be damaged , whether my personal interests will be affected , and so on and ||| 那么 作为 日本 的 民众 来讲 呢 ， 他们 更 关心 的 是 ， 比如说 我 经济 发展 得 怎么样 ， 我 的 生活 会 怎么样 ， 国家 的 利益 会 不 会 受到 损害 ， 我 个人 会 不 会 受到 影响
Well , we have noticed that in response to such questions , some analysts recently noted that Japan 's diplomacy will pay a heavy price for what he has been doing . ||| 那么 ， 结合 这样 的 问题 呢 ， 我们 注意 到 ， 最近 也 有 一些 分析家 指出 说 ， 日本 的 外交 将 会 为 他 的 这 种 做法 呢 ， 付出 沉重 的 代价 。
As a matter of fact , Professor Liu , you also mentioned earlier that Japan 's economy , for instance , the Sino-Japanese trade , has already been affected to some extent . ||| 实际上 刚才 刘 教授 您 也 谈到 了 ， 说 现在 日本 的 经济 呢 ， 比如说 ， 中 日 之间 的 贸易 已经 受到 一些 影响 了 ， 那么 是 不 是 已经 代价 开始 付出 ？
Well , have they started to pay the price already ?  ||| 实际上 刚才 刘 教授 您 也 谈到 了 ， 说 现在 日本 的 经济 呢 ， 比如说 ， 中 日 之间 的 贸易 已经 受到 一些 影响 了 ， 那么 是 不 是 已经 代价 开始 付出 ？
Well , I think , actually , as far as Japan itself is concerned , it still made some mistakes by itself .  ||| 那么 我 认为 呢 ， 实际上 ， 从 日本 来说 ， 它 还 有 自己 ， 还 有 一些 误区 ， 比如 小泉 呢 ， 他 实际上 在 国内 呢 ， 在 今年 的 九月 十一号 的 大选 当中 ， 他 获得 一 个 压倒性 的 胜利 ，
For instance , actually Koizumi won an overwhelming victory in the general election held on September 11 this year .  ||| 那么 我 认为 呢 ， 实际上 ， 从 日本 来说 ， 它 还 有 自己 ， 还 有 一些 误区 ， 比如 小泉 呢 ， 他 实际上 在 国内 呢 ， 在 今年 的 九月 十一号 的 大选 当中 ， 他 获得 一 个 压倒性 的 胜利 ，
At the same time his power to form the cabinet was further strengthened .  ||| 那么 我 认为 呢 ， 实际上 ， 从 日本 来说 ， 它 还 有 自己 ， 还 有 一些 误区 ， 比如 小泉 呢 ， 他 实际上 在 国内 呢 ， 在 今年 的 九月 十一号 的 大选 当中 ， 他 获得 一 个 压倒性 的 胜利 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 嗯 。
Er , he himself thought , er , that he was probably , , er , 200 % correct in what he has been doing .  ||| 呃 ， 他 自己 呢 ， 认为 呢 呃 自己 可能 是 百分之百 ， 百分之一百 ， 二百 的 ， 呃 二百 的 做 得 是 正确 的 。
Uh-huh .  ||| 嗯 嗯 。
However , in his diplomatic efforts , in terms of relations with neighboring countries , well , , we can say that he indeed failed miserably . ||| 但是 在 跟 邻国 的 关系 ， 在 他 外交 这 部分 ， 那么 应该 说 呢 ， 他 是 ， 确实 是 可以 说 呢 ， 是 非常 的 失败 。
Uh-huh .  ||| 嗯 嗯 。
Well , this itself also failed to meet Japan 's own demand for economic development and the trend of strengthening economic and trade relations with foreign countries , in particular , the eastern Asian region , well , so as to bring about ||| 那么 这个 本身 呢 ， 也 不 符合 呢 ， 就是 日本 经济 啊 ， 自身 要求 这个 发展 啊 ， 这个 跟 国外 呢 加强 经贸 关系 ， 特别是 呢 ， 在 东亚 地区 ， 那么 ， 实现 这个 地区 的 经济 合作
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , looking at Japan 's economy , we should say it is currently recovering its growth .  ||| 那么 从 日本 的 经济 来看 呢 ， 目前 应该 说 呢 ， 处于 一 种 恢复性 的 增长 ，
Well , externally , it mainly relies on the US and Chinese markets .  ||| 那么 他 在 国外 ， 主要 是 依靠 美国 市场 和 中国 市场 。
Uh-huh .  ||| 嗯 嗯 。
However , if the Chinese market suffers from economic cool-down as political coldness takes heat off economic development , it should produce a very negative effect on Japan 's economy . ||| 但 如果 呢 中国 市场 ， 由于 呢 这个 ， 政治 冷 冲击 了 经济 热 ， 导致 经济 也 冷 下来 的话 呢 ， 应该 说 对 日本 的 经济 是 一 个 非常 负面 的 影响 ，
Uh-huh .  ||| 嗯 嗯 。
This effect may not show until probably next year .  ||| 这个 大概 要 到 明年 吧 ， 就 会 显效 。
Uh-huh .  ||| 嗯 嗯 。
Well , just now , that is to say , it was the political coldness that totally damaged its relations with neighboring countries . ||| 那么 那个 ， 刚才 刘 教授 说 了 ， 就是说 ， 政 冷 ， 那么 它 就 是 全面 搞坏 了 与 邻 ， 邻国 的 关系 。
Uh-huh .  ||| 嗯 嗯 。
Then , in terms of economy , he has also been unable to keep the economic heat on .  ||| 那么 经济 上 他 已经 也 是 守 不 住 这个 经济 热 的 个 局面 。
Uh-huh .  ||| 嗯 嗯 。
Well , we know , what all of us should be more concerned is his failure in international affairs .  ||| 那么 我们 知道 他 在 国际 事务 上 ， 这个 ， 这个 失败 ， 那 是 更 是 应 应 可以 我们 大家 都 关注 的 ，
That is , this year marks the 60th anniversary of the founding of the United Nations .  ||| 就是 今年 是 联合国 成立 六十 周年 ，
Uh-huh .  ||| 嗯 嗯 。
Japan placed its hope of becoming a permanent member of the Security Council this year .  ||| 日本 把 这个 入 常 的 希望 放在 今年 ，
Uh-huh .  ||| 嗯 嗯 。
Well , generally speaking , if it could n 't get accepted this year , well , the chances in future are extremely slim .  ||| 那么 这个 一般来说 今年 进 不 去 ， 那么 以后 这个 机会 是 非常 渺茫 了 。
Uh-huh .  ||| 嗯 嗯 。
