--basically , it was unanimously agreed upon by the various relevant parties .  ||| 基本上 得到 了 有关 各 方 的 一致 赞同 ，
Yes , actually I think everyone can see that from the buses that cross Jingguang Bridge .  ||| 对 ， 其实 我 觉得 大家 从 这个 京广桥 *T*-1 经过 的 公交车 就 可以 发现 。
Yes .  ||| 对 。
As buses that cross the Third Ring Road are currently , right now affected by the Jingguang Bridge accident , ah , the latest results this morning show that 32 bus routes throughout the neighborhood have had to be rerouted . ||| 因为 这个 *T*-1 三环路 上 经过 的 公交车 ， 现在 目前 呢 受到 京广桥 事故 的 这个 影响 啊 ， 整个 周边 的 ， 今天 早上 最新 的 结果 是 已经 有 三十二 条 公交 线路 仍然 需要
Uh-huh .  ||| 嗯 。
Well , I think that perhaps many friends in other places are wondering how one place is able to accommodate 32 commuter routes . ||| 那 我 想 可能 很多 也 ， 也 是 *T*-1 在 其他 地方 的 朋友 想 ， 在 一 个 地方 能够 通过 三十二 条 公交 线路 。
If the accident did not happen , perhaps everyone would not know that this place could normally have so many--  ||| 如果 不 发生 事故 的话 ， 可能 大家 都 不 知道 这个 地方 平常 能 通过 这么 多 的 这个 ，
It is really like this , just look at the bus signs .  ||| 真 是 这样 ， 光 看到 站牌 了 ，
Right .  ||| 对 。
Have not seen so many buses .  ||| 没 看到 这么 多 车 。
Right .  ||| 对 ， 它 影响 的 人 的 这个 面 也 非常 的 广 。
Its effect on people has been extremely extensive .  ||| 对 ， 它 影响 的 人 的 这个 面 也 非常 的 广 。
Yes .  ||| 对 。
Uh-huh .  ||| 嗯 ，
Well , what measures did the traffic control department eventually take to direct traffic ?  ||| 那么 ， 到底 这个 交管 部门 都 采取 了 哪些 措施 来 进行 输导 工作 呢 ，
Our correspondent specially interviewed Director Meng Xianlong , Mr . Meng Xianlong , of the Command Center of the Beijing Municipal Traffic Administration . ||| 我们 的 记者 呢 还 专访 了 北京市 交管局 指挥 中心 的 主任 孟宪龙 ， 孟宪龙 先生 。
Let 's hear what Director Meng said .  ||| 我们 一起 来 听一听 孟 主任 是 怎么 说 的 。
Um , our traffic control department immediately activated the traffic emergency response plan .  ||| 这个 ， 我们 交通 管理 部门 呢 立即 启动 了 交通 应急 处置 方案 。
In the roads close to where the problem emerged , we first set up traffic diversion points for traffic control at the southern and northern ends . ||| 我们 在 这个 *T*-1 出现 问题 的 道路 周边 ， 南北 两 端 首先 设置 了 交通 管制 的 分流岗 ，
In this way , all vehicles going along East Third Ring Road had to make a detour to go on roads on the east and west sides . ||| 这样 呢 ， 这个 凡是 *T*-1 行经 这个 东三环 的 车辆 一律 绕行 这个 东西 两 侧 的 道路 ，
East Third Ring Road is a traffic artery in the east of Beijing that links the north and the south .  ||| 东三环 是 北京 东部 *T*-1 贯通 南北 的 一 条 交通 干线 ，
In order to ensure smooth traffic in the eastern district , we formulated a set of traffic diversion control plans .  ||| 为了 保证 东部 地区 的 交通 通畅 ， 我们 制定 了 一 套 交通 分流 控制 方案 ，
We set up traffic diversion points at 68 locations along East Second Ring Road , East Fourth Ring Road , West Dawang Road , ah , and related roads to the east and west , and deployed more than 210 additional police officers to divert and direct ||| 特别是 在 这个 东二环 ， 东四环 ， 以及 西大王路 ， 啊 ， 以及 东西 相关 的 道路 我们 设置 了 六十八 处 分流岗 ， 增派 了 二百一十多 名 警力 进行 分流 疏导 。
It can be said that measures were very promptly taken .  ||| 可以 说 措施 呢 采取 的 非常 的 及时 ，
Ah , today is the first workday after the New Year holiday .  ||| 啊 ， 今天 呢 是 *OP* *T*-1 元旦 放假 最后 的 第一 天 上班 ，
Well , what exactly was the situation this morning ?  ||| 那么 到底 今天 上午 的 情况 怎么样 呢 ？ 我们 上午 呢 特别 派出 了 记者 到 现场 拍摄 了 一些 画面 ，
We specially sent a reporter to the scene this morning to shoot some footage .  ||| 那么 到底 今天 上午 的 情况 怎么样 呢 ？ 我们 上午 呢 特别 派出 了 记者 到 现场 拍摄 了 一些 画面 ，
Let 's take a look at the situation this morning through this footage .  ||| 我们 再 通过 这个 画面 呢 ， 来 看 一下 今天 上午 的 情况 。
Well , from this footage , we can see that , ha , at East Third Ring Road , ah , near Guanghua Bridge , the roads here that lead to the vicinity of Jingguang Bridge have come under control and , well , various kinds of signs have also been placed ||| 那么 从 这个 画面 上 我们 能够 看到 哈 ， 在 东三环 ， 啊 ， 光华桥 的 附近 呀 ， 这 里面 *T*-1 通往 京广桥 附近 的 路面 已经 进行 了 管制 ， 那么 各 种 指示牌 呢 也 摆在 了 非常 明显
Although the outdoor temperature in Beijing has fallen to minus 3 degrees , the traffic police deployed additional manpower on the roads to direct traffic , ah , and guide drivers in making detours . ||| 虽然 北京 的 室外 温度 已经 达到 了 零下 三 度 ， 交通 警察 呢 加强 人手 呢 正 在 路面 疏导 交通 ， 啊 指导 司机 进行 改道 行车 。
Well , since direction of traffic was carried out on the periphery , the number of vehicles at the section of the accident was significantly less than usual , with road traffic very orderly . ||| 那么 由于 外围 呢 进行 了 疏导 ， 事故 路段 的 车流量 也 是 明显 的 比 平时 少 了 ， 路面 的 交通 呢 也 非常 的 井然 。
Ah , it can be said , ah , Yang Yang , citizens , regardless of whether they took the bus or drove , their mentality , in terms of being understanding or calm , ah , was a very important factor in having orderly traffic at the scene . ||| 啊 可以 说 ， 啊 这个 从 ， 杨洋 ， 从 这个 作为 市民 来讲 ， 无论是 *T*-1 坐 公交车 的 还是 *T*-2 开车 的 人 来讲 ， 他们 心态 上 的 这 种 理解 或 这 种 平和
Uh-huh .  ||| 嗯 。
Right , right .  ||| 没错 没错 。
 , through your listeners , what kind of feedback did you find out from them ?  ||| 你 ， 你 通过 跟 那个 听众 了解 他们 有 什么样 的 反馈 ？
Actually , this morning , some listeners , ah , also happened to tell us about it via mobile phone SMS .  ||| 其实 ， 这个 今天 早晨 有 听众 啊 ， 正好 也 是 通过 手机 短信 告诉 我们 ，
Since we know that Jingguang Bridge is located in the CBD district , well there are many office buildings , ah , a lot of them , as well as quite a lot of friends who get up early in the morning to go to work . ||| 他们 很多 朋友 ， 因为 咱们 也 知道 这个 京广桥 呢 是 在 ＜ Ｅｎｇｌｉｓｈ ＞ ＣＢＤ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 地区 ， 那么 很多 写字楼 啊 非常 的 多 ， *T*-1 早晨 起来 上班 的 朋友 也 是
Therefore , they sent SMS saying , hey , it is unusual , ah , for me to be walking to the bus station today or going to take the bus . ||| 所以 他们 就 发 短信 说 ， 哎 难得 啊 今天 我 走路 到 这个 公交 车站 或者 去 乘车 。
Well , it is unusual for me to enjoy a very pleasant morning .  ||| 那么 ， 也 难得 的 享受 到 了 一 个 非常 快乐 的 早晨 。
We then reminded everyone to wear extra clothing .  ||| 我们 就 提醒 大家 ， 您 多 穿 点 衣服 。
This shows that when people encounter such kind of emergency , they have started to be able to face it with a very calm and pleasant state of mind . ||| 说明 现在 大家 *pro* 遇到 这 种 突发 事件 的 时候 ， 已经 开始 可以 以 一 种 非常 平和 和 快乐 的 心态 去 面对 ，
I think that this mentality in facing emergencies , in one respect shows a great change of mentality that Beijing citizens now have after enduring several tests in the past , and a kind of calmness and maturity after having experienced ||| 我 觉得 这 种 心态 上 的 面对 一方面 ，
I think that this mentality in facing emergencies , in one respect shows a great change of mentality that Beijing citizens now have after enduring several tests in the past , and a kind of calmness and maturity after having experienced ||| 可能 是 之前 经过 几 次 考验 之后 ， 北京 市民 的 心态 上 已经 有 了 一 个 非常 大 的 一 个 转变 和 经受 挫折 之后 显示 出来 一 种 从容 和 成熟 。
On the other hand , I think it can also fully show the level of people 's satisfaction with emergency mechanisms of the operational departments of the government in handling this incident . ||| 而 另外 一 方面 我 觉得 大家 也 可以 ， 啊 ， 也 可以 充分 的 体现 出 对于 政府 职能 部门 对于 这 次 事件 的 一 个 应急 机制 处理 的 一 个 满意度 。
That is , they think that the government has tried its best .  ||| 就说 ， 他 觉得 政府 已经 很 尽力 了 ，
Well , in this respect , we citizens should also contribute our efforts .  ||| 那 在 这 方面 我们 市民 也 应该 贡献 出 自己 的 力量 ，
Uh-huh .  ||| 嗯 。
As such , in this regard , I think people 's mentality can become very calm .  ||| 所以 在 这 方面 我 觉得 大家 心态 呢 就 会 变的 很 平和 了 。
Uh-huh .  ||| 嗯 ， 那么 周 教授 从 这个 角度 来看 ， 是 不 是 也 是 信息 公开 之后 的 一 个 非常 好 的 一 个 效果 ？
Well , Professor Zhou , from this perspective , is this one highly positive effect achieved after information was disclosed ? ||| 嗯 ， 那么 周 教授 从 这个 角度 来看 ， 是 不 是 也 是 信息 公开 之后 的 一 个 非常 好 的 一 个 效果 ？
Yes .  ||| 对 。
In terms of citizens  ' mentality .  ||| 心理 上 来讲 对 市民 来说 。
Yes , in fact it can be seen from this particular case .  ||| 对 ， 实际上 从 这个 个案 里边 就 可以 看 出来 ，
That is , when the government was handling this kind of public emergency , well , it went from a traditionally unilateral administrative management method , well , a method in which information was quite delayed , to disclosure and transparency ||| 就说 政府 在 *pro* 应对 这 种 公共 危机 事件 的 时候 ， 那么 ， 从 一 种 传统 的 单向 的 行政 管理式 的 方式 ， 那么 信息 相对 也 比较 滞后 的 这 种 方式
That is , when the government was handling this kind of public emergency , well , it went from a traditionally unilateral administrative management method , well , a method in which information was quite delayed , to disclosure and transparency ||| 像 通过 这 种 ， 啊 ， 信息 公开 透明 ， 而且 速度 非常 快 。
We know that in the past , disclosure of information had to be reported to higher authorities , level by level , until the highest authorities had given approval , before information could be disclosed . ||| 知道 我们 原来 公开 信息 是 要 一 层 一 层 往上 报 ， 报到 最 上 层 批准 之后 才 能 公开 。
Time was lost .  ||| 时间 都 过去 了 。
Well , yes , the State Council has , er , put forth a regulation concerning the establishment of public early warning mechanisms . ||| 那么 ，
Well , yes , the State Council has , er , put forth a regulation concerning the establishment of public early warning mechanisms . ||| 对 ， 在 国务院 在 关于 这个 建立 公共 预警 机制 的 里边 已经 ， 呃 作出 了 规定 ，
That is , related information that can be publicized will be publicized first , in order to guide people in what to do .  ||| 就 是 先 把 相应 的 *T*-1 可以 公开 的 信息 首先 公开 ， 给 大家 一 个 行为 一 个 指引 。
In this way , related interaction between the government and the people can be formed .  ||| 这样 能够 形成 一 个 相应 的 官 民 之间 的 一 个 互动 ，
That is , in modern public management , ah , this is a very good case , that is , of shifting from a kind of unilateral administrative management to public management and to positive interaction between the government and the people . ||| 就是 ， 也就是 当代 公共 治理 当中 啊 ， 就是说 从 一 种 单方面 的 行政 管理 向 一 个 公共 治理 ， 向 一 个 官 民 之间 的 这 种 良性 的 互动 ， 向 这个 转变 的 一 个 很 好
I think in fact , we can sum up many beneficial experiences from this case and actually extend them to other areas .  ||| 我 觉得 我们 从 这个 事件 里边 实际上 可以 总结 很多 有益 的 一些 经验 ， 实际上 在 其他 的 领域 也 可以 来 推而广之 。
Yes , this is when we look at this case from the perspective of traffic .  ||| 对 ， 这 是 我们 从 这个 交通 的 角度 来 看 这 件 事情 。
Traffic was the first thing to be impacted when this , cave-in accident occurred .  ||| 因为 这个 事故 ， 塌陷 事故 *pro* 发生 以后 呢 首先 影响 的 是 交通 ，
However , this accident actually involved many underground pipes , such as sewage pipes , ah , or water , ah , and gas , ah , pipes , that affect the lives of citizens in many other aspects . ||| 但是 实际上 呢 在 这个 ， 啊 事故 中 也 有 很多 其他 方面 *T*-1 涉及 到 了 市民 生活 的 很多 管线 都 埋 在 这个 地下 ， 啊 比如 排污 管道 啊 ， 或者 *T*-2 供水
Yes .  ||| 对 。
Yang Yang , do you know how many pipes there are underground ?  ||| 杨洋 ， 你 知道 有 多少 条 管道 在 下面 ？
Right now , there should be seven main types of pipes buried underground .  ||| 现在 应该 在 下面 有 埋有 这个 七 大 类 的 管道 ， 包括 像 刚才 你 提到 的 ， 还 有 这个 供暖 啊 ， 还 有 *PRO* 通讯 的 管道 等等 ， 等等 。
They include those like you just mentioned , as well as pipes like those for heating and communication , among others .  ||| 现在 应该 在 下面 有 埋有 这个 七 大 类 的 管道 ， 包括 像 刚才 你 提到 的 ， 还 有 这个 供暖 啊 ， 还 有 *PRO* 通讯 的 管道 等等 ， 等等 。
Truly , these pipes are closely linked to the lives of citizens .  ||| 就 是 这些 管道 本身 实际上 跟 市民 的 生活 是 紧密 相关 的 。
Closely linked .  ||| 息息相关 。
Yes , therefore besides our attention to the traffic issue just now , people are also very concerned , ah , with the situation after the accident , with other aspects affecting citizens  ' lives . ||| 对 ， 所以 除了 我们 要 刚才 关心 这个 交通 问题 之外 呢 ， 大家 也 非常 关心 ， 啊 ， 事故 发生 以后 像 其他 的 这些 方面 ， 影响 市民 生活 的 这些 情况 怎么样 ？
Let 's take a look again at this footage of the situation of dealing with the current scene .  ||| 我们 再 通过 这个 画面 来 看 一下 现在 现场 这个 处理 的 情况 。
Ah , according to our understanding of the situation , the Beijing Municipal Construction Commission , ah , the Communication Commission , ah , and telecommunication , traffic , and other departments have assigned personnel to ||| 啊 ， 据 我们 了解 的 情况 呢 ， 就是 目前 呢 北京市 建委 啊 ， 交委 啊 ， 电信 ， 交通 等 部门 呢 已经 安排 人员 呢 投入 了 抢修 工作 。
Relevant departments said that they will adopt a full range of measures to minimize the level of impact on people 's daily lives and work , in order to ensure stable order in society during the recovery period . ||| 相关 部门 表示 说 ， 将 采取 一切 措施 将 影响 群众 生活 生产 的 这个 程度 呢 降到 最 低 ， 确保 呢 *pro* 恢复 期间 社会 秩序 的 稳定 。
Well , looking at the government 's response to this cave-in accident , ah , we should say it was very prompt with traffic management and emergency repair , ah , because it involved various aspects of life . ||| 那么 ， 应该 说 呢 这 次 塌陷 事故 从 政府 应对 的 这个 过程 来看 呢 ， 啊 ， 无论是 交通 还是 抢修 ， 啊 因为 涉及 到 生活 的 各 个 方面 来说 ， 都 是 非常 的 及时
Well , ah , Professor Zhou , as this incident involved many departments after it took place , how do you think the various departments should coordinate between themselves ? ||| 那么 ， 啊 ， 周 教授 您 怎么样 来 看 ， 就是说 因为 这个 事件 发生 以后 呢 ， 它 涉及 到 很多 部门 ， 那 各 个 部门 之间 应该 怎么样 去 协调 ？
Yes .  ||| 对 ，
This is also--  ||| 这 也 是 ，
It is not the case that this problem will be totally solved when one department shows up .  ||| 它 不 是 说 一 家 去 了 就 全 能 把 这个 问题 解决 。
Yes , I think as we build this kind , er , of public , this kind of emergency mechanism for public incidents , ah , has been the , most difficult to resolve , an actual problem that has been the most difficult to resolve among administrative ||| 对 ， 我 觉得 这 也 是 我们 在 *pro* 构建 这 种 呃 ， 公共 ， 这 种 突发 公共 事件 应急 机制 时候 啊 最 最 难 解决 ， 它 也 是 *T*-2 各 国 行政 管理
How many groups of people will be sent ?  ||| 去 多少 拨 人 ？ 好多 拨 人 。
Many groups .  ||| 去 多少 拨 人 ？ 好多 拨 人 。
Yes , this is because social management requires division of labor in society .  ||| 对 ， 因为 社会 管理 它 需要 社会 分工 ，
It is necessarily a labor division trend that involves many departments , and in addition , a kind of modern management public administration model which is diversified . ||| 它 必然 是 以 这 种 多 部门 的 这 种 分工 的 趋势 ， 而且 当代 的 管理 也 是 一 种 分散化 的 这 种 公共 治理 的 模式 。
Uh-huh .  ||| 嗯 。
How can cooperation be formed between departments in this kind of situation ?  ||| 在 这 种 情况 之下 怎么样 能够 形成 部门 之间 的 协作 ？
Well , sometimes under normal circumstances , sometimes , we often feel that it is very difficult for departments to cooperate with one another . ||| 那么 有时候 我们 在 常态 的 情况 下 ， 我们 有时候 经常 感觉 部门 之间 的 协作 很 困难 ，
For instance , there are too many law enforcement departments and , ah , too many administrative departments , and very often in the end , they are unable to coordinate . ||| 比如 我们 说 执法 部门 太 多 ， 啊 管理 部门 太 多 ， 往往 最后 不 能 协调 。
However , this time , through the execution of emergency contingency plans by Beijing Municipality this time , ah , it should be said that the response speed of the different departments of Beijing Municipality , as well as the integrated ||| 但 这 一 次 北京市 在 这 一 次 这个 ， 通过 北京市 这个 这个 *T*-1 应急 的 预案 的 执行 啊 ， 应该 说 不同 的 部门 *pro* 反应 的 速度 和 应急 联动 的
Hence , I think this was also a kind of , er , trial of interdepartmental cooperation mechanisms .  ||| 所以 ， 我 想 这个 也 是 对 我们 这 种 啊 部门 之间 协作 这 种 机制 的 一 种 呃 考验 ，
Uh-huh .  ||| 嗯 。
It was a very successful , er , response .  ||| 也 是 一 种 很 成功 的 一 个 ， 这个 这个 呃 应对 吧 。
I think many good things can be summed up from this .  ||| 我 觉得 这个 里面 也 可以 总结 很多 好 的 东西 出来 。
Yes .  ||| 对 。
Yang Yang , based on your understanding , ah , as pipes that directly affect many common people 's lives were damaged after the accident , based on your understanding of the situation , how was remedial work carried out ? ||| 杨洋 据 你 了解 啊 ， 在 这个 事故 发生 以后 ， 因为 它 *T*-1 涉及 到 很多 老百姓 切身 生活 利益 的 这个 管线 被 破坏 了 ， 那么 你 了解 的 情况 ， 就是说 这些
For instance , it is very cold during winter in Beijing , and the temperature last night dropped to one of the lowest points recently . ||| 比如说 ， 这个 在 北京 的 冬天 非常 冷 ， 而且 昨天 晚上 的 这个 气温 呢 是 最近 以来 一 个 比较 低 的 一 个 点 ， 降到 这样 的 一 个 温度 。
Er , heating pipes were indeed damaged .  ||| 呃 ， *T*-1 供暖 的 管线 呢 确实 已经 被 破坏 了 ，
Well , at the time , it affected residents living in an area of about 70 ,000 square meters of Beijing .  ||| 那么 当时 呢 影响 到 了 北京 *T*-1 大约 是 七万 平米 的 这个 住户 ，
Well , , in this regard , the Chaoyang district government did a very good job .  ||| 那么 在 这 一 ， 在 这 一 方面 呢 这个 朝阳区 政府 做 的 非常 的 好 ／ ． ，
After it , er , received this order from the municipal government , it immediately sent , electric heaters to residents in more than 200 households within this area . ||| 接到 了 市政府 的 这个 ， 呃 *pro* 接到 了 市政府 的 这个 命令 之后 ， 然后 马上 给 其中 的 这个 二百多 户 居民 送去 了 电热 ， 电暖气 ，
It should be said that many residents spent quite a warm night at home yesterday .  ||| 应该 说 让 昨天 很多 的 居民 在 家里 呢 ， 还是 相当 的 温暖 的 度过 了 这个 夜晚 。
Well , furthermore , in the emergency repair process , ah , it should be said that the heating pipeline was restored relatively quickly . ||| 那么 ， 而且 呢 在 这个 抢修 的 过程 当中 呢 ， 啊 ， 供暖 这 条 线路 呢 恢复 应该 说 也 是 *T*-1 比较 快 的 能够 恢复 的 一 条 线路 。
Hence , over here , I think the municipal government , ah , including sub-district offices , made a lot of effort to take good care of resident households . ||| 所以 在 这里 呢 ， 市政府 我 觉得 还是说 ， 啊 ， 包括 我们 的 这个 街道 办事处 也 是 尽 了 很多 的 这个 ， 对于 这个 家属 进行 安抚 啊 ， 进行 这个 关怀 啊 ， 我 觉得 在 这
I think it was done in a very humanitarian manner .  ||| 所以 在 这里 呢 ， 市政府 我 觉得 还是说 ， 啊 ， 包括 我们 的 这个 街道 办事处 也 是 尽 了 很多 的 这个 ， 对于 这个 家属 进行 安抚 啊 ， 进行 这个 关怀 啊 ， 我 觉得 在 这
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 。
Professor Zhou , actually for such a large scale city as Beijing that has more than 14 million people , ah , for such a big city , a suddenly occurring public emergency like this should be said to be relatively common . ||| 周 教授 ， 实际上 作为 一 个 特大型 的 城市 来说 ， 像 北京 有 一千四百多万 人口 啊 ， 这么 大 的 一 个 城市 ， 像 发生 这样 的 一 种 突发 这 种 公共 事件 ， 应该 说 是 比较
Yes .  ||| 对 ，
I think it should be unexpected yet at the same time within expectations .  ||| 就是 我 觉得 应该 是 既 是 在 预料 之外 ， 同时 也 是 在 预料 之中 。
For instance , we see that other , er , domestic and overseas cities have experienced similar incidents .  ||| 比如说 ， 我们 看一看 其他 的 呃 国内 国外 的 城市 都 发生 过 类似 的 事情 ，
Perhaps many overseas cities have had such kind of thing before .  ||| 很多 国外 的 可能 都 有 过 这样 的 。
This is because a city is a gathering place for modern life .  ||| 因为 城市 嘛 ， 它 是 这个 现代 生活 的 积聚地 ，
It is a highly civilized place , as well as , however , in fact a gathering point for various conflicts , social , economic , security , various aspects of conflict . ||| 即 是 高度 文明 的 地方 ， 但 实际上 也 是 各 种 矛盾 ， 社会 的 ， 经济 的 ， 治安 的 ， 各 个 方面 的 矛盾 的 一 个 聚集点 。
Hence it is not at all surprising for such an accident to occur .  ||| 所以 在 ， 出现 这样 的 事故 倒 并不 为奇 ，
The critical thing is--  ||| 关键 是 ，
But the critical thing is how emergency plans are activated after the occurrence of such accidents , and for a city , this is a test of its response capabilities . ||| 但 关键 是 出现 这样 事故 以后 你 的 这个 紧急 预案 启动 的 怎么样 ， 就 应对 的 能力 对 城市 来说 是 一 个 考验 。
Yes .  ||| 对 。
Yes .  ||| 对 。
Yes , I think through a few incidents that happened in Beijing Municipality over recent years , such as SARS , the snowfall a few years ago , the heavy rains two years ago , and the road cave-in at East Third Ring Road this time , I think it can ||| 对 ， 我 觉得 通过 最近 这 几 年 啊 北京市 通过 几 个 事件 ， 比如说 通过 非典 ， 通过 这个 几 年 前 那 场 雪 ， 通过 在 两 年 前 那 场 大雨 ， 再 通过 这 一 次 的 这个 东三环 这个
Right .  ||| 对 。
It can be said that this time , what was done has received favorable comments from everyone .  ||| 这 一 次 应该 说 是 做 得 非常 的 这个 ， 得到 大家 这个 这个 好评 了 。
Um , well , I think , Yang Yang , perhaps you have stronger feelings on this aspect , ah .  ||| 嗯 ， 那么 我 想 这 方面 呢 ， 杨洋 可能 你 自己 的 感受 更 强烈 一些 啊 。
Yes .  ||| 是 。
Because you often have this kind of direct SMS exchange with listeners .  ||| 因为 你 经常 跟 这 听众 有 直接 这 种 短信 的 交流 。
It is because , we , Beijing Traffic Radio Station , has become a part of emergency planning in Beijing .  ||| 因为 我们 北京 交通 广播 已经 是 成为 了 在 咱们 北京 的 这个 ， 这 种 突发 事件 预案 当中 的 其中 的 一 个 部分 。
Well , Beijing Traffic Radio Station is to be activated as a media for emergency plans that are grade three and above .  ||| 那么 ， 从 三 级 预案 的 时候 呢 就 应该 启动 我们 北京 交通 广播 ， 作为 媒体 的 一 个 职责 。
Well , for instance , as people still vividly remember , at the time of that snowfall just mentioned by Professor Zhou that people still vividly remember , there were no plans . ||| 那 比如说 ， 在 *T*-1 大家 记忆犹新 的 ， 刚才 周 教授 也 提到 了 *OP* 大家 记忆犹新 的 那 场 雪 的 时候 ， 那个 时候 还 没有 预案 ， 北京市 还
Beijing Municipality still had no emergency plan .  ||| 那 比如说 ， 在 *T*-1 大家 记忆犹新 的 ， 刚才 周 教授 也 提到 了 *OP* 大家 记忆犹新 的 那 场 雪 的 时候 ， 那个 时候 还 没有 预案 ， 北京市 还
Well , at that time , it happened that I was hosting the Unblocked All the Way program in the studio that evening .  ||| 那么 那个 时候 正好 那 天 晚上 我 就 在 直播间 上 一路 畅通 ，
Well , at that time , traffic was not at all unblocked .  ||| 那 时候 一路 都 不 畅通 了 。
Ah , at that time there was none of this kind of interaction .  ||| 啊 那 时候 也 没有 这 种 互动 ，
It was not clear , it was very congested .  ||| 也 不 畅通 ， 你 非常 的 闭塞 ， 你 坐 在 直播间 当中 只 能 知道 大雪 ，
You sat inside the studio and only knew about the heavy snowfall .  ||| 也 不 畅通 ， 你 非常 的 闭塞 ， 你 坐 在 直播间 当中 只 能 知道 大雪 ，
You could find out other news only by telephone .  ||| 你 其他 的 消息 只 能 通过 电话 ， 各 种 方式 渠道 都 非常 的 不 畅通 。
The various methods and channels were extremely unclear .  ||| 你 其他 的 消息 只 能 通过 电话 ， 各 种 方式 渠道 都 非常 的 不 畅通 。
Well , later , when we experienced that rainfall in Beijing , that rainfall two years ago , as well as some days of sand storms , all channels and early warning mechanisms were activated in quite an orderly manner . ||| 那么 ， 到 后来 的 我们 经历 了 北京 的 那 场 雨 ， 两 年 前 的 那 场 雨 ， *T*-1 包括 一些 沙尘暴 的 天气 的 时候 ， 整个 的 渠道 和 预警 的 机制 然后 呢 启动
From our perspective as media , I think it was precisely by going through those breaking-in , trials that we could be so calm in handling such an emergency today , ah , and give everyone the most effective announcements and notifications , and ||| 而且 我 想 也 是 通过 ， 因为 从 我们 作为 媒体 的 这个 角度 来看 ， 就 是 通过 那些 的 磨合 ， 锻炼 到 今天 我们 也 可以 从容 的 面对 这样 的 一 个 突发 事件 ，
From our perspective as media , I think it was precisely by going through those breaking-in , trials that we could be so calm in handling such an emergency today , ah , and give everyone the most effective announcements and notifications , and ||| 啊 ， 向 大家 呢 作 最 有力 的 这 种 宣传 ， 告知 ， 还有 这 种 疏导 。
Yes , therefore , as a local media in this city , it should become a proactive participant when there is a public emergency in the city . ||| 对 ， 所以 说 作为 一 个 当地 这个 城市 的 一 个 媒体 来讲 ， 当 这个 城市 遇到 了 *T*-1 突发 的 公共 事件 的 时候 ， 它 也 应该 成为 一 个 主动
Yes .  ||| 对 。
It should play its individual role in the process of resolving emergencies .  ||| 并且 在 解决 这个 突发 事件 的 过程 中 应该 起到 自己 应 有 的 作用 。
Ah , apart from this , Professor Zhou , what do you think are the areas for improvement for a city , especially a booming city , when handling this kind of public emergency ? ||| 啊 ， 除了 这个 事情 以外 呢 ， 周 教授 您 觉得 对于 一 个 城市 来讲 ， 尤其是 一 个 作为 一 个 *T*-1 蓬勃 发展 的 城市 来讲 ， 那么 在 *pro* 处理 这样 的 公共
Right , I think this gave us many revelations , ah .  ||| 对 ， 我 觉得 这个 给 我们 很多 的 这个 启示 啊 。
First , I think one that should be especially important is early warnings and forecasts .  ||| 首先 ， 一 个 我 想 这个 预警 ， 预测 这 一 块 应该 特别 重要 。
This is because currently , there are , ah , frequently various kinds of risks lurking in cities , ah .  ||| 因为 现在 城市 啊 ， 啊 往往 是 蕴含 着 各式各样 的 风险 的 ，
Early warnings and forecasts .  ||| 预警 和 预测 。
Yes , this kind of early warning and forecast mechanism .  ||| 对 ， 预警 和 预测 这 种 机制 。
Uh-huh .  ||| 嗯 。
It is not only for , this kind of sudden road cave-in , it also includes , for instance , security incidents , ah , in our society , as well as natural disasters , ah , and including public health incidents . ||| 不光是 像 这 种 这个 这个 啊 ， 这 种 这个 道路 的 这 种 突然 塌陷 ， 包括 像 ， 比如说 我们 的 这个 社会 的 这 种 安全 的 事件 啊 ， 自然 灾害 啊 ， 包括 公共 卫生 事件 啊
Uh-huh .  ||| 嗯 。
That is , this kind of scientific early warning and forecast mechanism must be set up .  ||| 就是 这 种 首先 要 建立 一 个 科学 的 预警 预测 机制 ，
Uh-huh .  ||| 嗯 。
In this way , you can manage and resolve an abnormal situation by turning it into a normal situation , without evolving into a sudden public emergency . ||| 这样 你 就 可以 把 这 种 非常态 转化 到 常态 下 管理 就 能 解决 了 ， 不至于 演化 成为 突然性 的 这个 突发 公共 事件 。
Uh-huh .  ||| 嗯 。
Another thing I want to say is that besides , ah , emergency response and speedy integration mechanisms , I think some corresponding improvements should be made to the release of information , incident investigation , ah , and the relevant ||| 另外 一 个 我 想 就是说 ， 除了 这个 ， 啊 紧急 的 这 种 应对 ， 快速 的 联动 机制 之外 ， 还 有 一 个 就是说 在 信息 的 发布 上 ， 在 这个 事故 的 调查 上 ， 啊 以及 在 这个 事后 的
In fact , , that is , we should say that the government already has quite a number of relevant systems in this respect .  ||| 实际上 相关 的 ， 就 说 国家 应该 在 这个 层面 上 相关 的 制度 已经 不 少 了 ，
For instance , we have an administrative investigation system for incidents of major responsibility .  ||| 比如说 ， 我们 有 重大 责任 事故 的 *PRO* 行政 追究 制度 ，
We have regulations on investigation procedures for very major incidents , as well as others such as emergency response methods for handling public health incidents and public health emergencies , among others . ||| 我们 有 特大 事故 的 这个 调查 程序 的 规定 ，
We have regulations on investigation procedures for very major incidents , as well as others such as emergency response methods for handling public health incidents and public health emergencies , among others . ||| 也 有 比如是 公共 卫生 事件 当中 的 ， 突发 公共 卫生 事件 的 应急 处理 的 办法 等等 。
