What kind of memory ?  ||| 什么样 的 记忆 ？
The militiamen were divided into two groups .  ||| 把 这个 民兵 分 了 两 部分 ， 一 部分 光 管 割 ， 割 电线 ， 一 部分 是 破路 。
One was responsible only for cutting electrical wires , and the other for destroying roads .  ||| 把 这个 民兵 分 了 两 部分 ， 一 部分 光 管 割 ， 割 电线 ， 一 部分 是 破路 。
We people , ah , were under his command for the time being .  ||| 我们 这些 人 啊 也 就 随 ， 受 他 的 ， 受 他 的 临时 的 指挥 。
We all took part in destroying roads .  ||| 这个 都 参加 破路 。
From the Zhengtai road , from , um , Zhengding to , um , Shijiazhuang , to Taiyuan , more than 400 ,000 civilians participated in destroying roads . ||| 这个 从 郑太路 ， 从 这个 正定 到 这个 石家庄 ， 到 太原 这 沿线 都 有 四十多万 啊 群众 参加 破路 ，
Most important at that time along the Zhengtai road was mainly to destroy the Jinxi coal mine .  ||| *T*-1 最 重要 的 就 是 当时 在 这个 郑太路 上 主要 是 破坏 金溪 煤矿 。
Soldiers used hay cutters to sever the wire net , charging into the station and destroying the machine room and water tower , and then started to destroy the road . ||| 战士们 用 铡草刀 轧断 铁丝网 ， 冲进 车站 ， 破击 了 机器房 和 水塔 ， 然后 开始 破路 。
Of the three to four thousand civilians participating in the battle , one soldier was added to every squad of 16 people formed . ||| 三四千 参战 民众 中 ， 每 十六 个 人 组成 一 个 班 ， 加进 一 个 战士 ，
While destroying roads , there was clear-cut division of labor .  ||| 破路 时 分工 明确 ， 有 *T*-1 下 螺丝 的 ， 有 *T*-2 拔 道钉 的 ， 有 *T*-3 打 架板 的 ， 有 *T*-4 搬 枕木 的 ， 有
Some took off screws ; some uprooted rail spikes ; some knocked off joint bars ; some removed cross ties ; some carried away rails . ||| 破路 时 分工 明确 ， 有 *T*-1 下 螺丝 的 ， 有 *T*-2 拔 道钉 的 ， 有 *T*-3 打 架板 的 ， 有 *T*-4 搬 枕木 的 ， 有
For cutting electrical wires , the militiamen in the village were waiting for the troops to come ,  ||| 断 电线 ， 村 里 的 民兵 ， 等着 部队 一 来 ， （ （ ） ）
Ah ,  ||| 啊 啊 。
Over there , a builder of the surrounding walls sabotaged transportation by pushing over his surrounding walls .  ||| 那边 有 个 ， 破坏 交通 ， 破坏 交通 是 跟 那个 *T*-1 修 围墙 的 ， 推倒 他 围墙 。
It was built during the day , and at night , overnight militiamen shoveled it over .  ||| 在 黑夜 ， 白天 修 起来 ， 咱 黑夜 几 名 民兵 就 把 它 挖掉 了 。
The task of the 72nd Regiment was , er , this destruction battle .  ||| 那 是 七十二 团 任务 ， 呃 任务 这个 破 ， 破袭战 ，
This destruction battle went on for a day and a night .  ||| 这个 破袭战 破 了 一 天 一 夜 ， 大概 情况 一 天 一 样 ，
Each day the general situation was different .  ||| 这个 破袭战 破 了 一 天 一 夜 ， 大概 情况 一 天 一 样 ，
-LSB--LSB-They attacked small bridges and small districts , and generally looted these stations .-RSB--RSB-  ||| 打 小 桥梁 啊 ， 打 小 区地 啊 ， 大概 这些 东西 哨 抢 了 。
They carried away the iron , the iron rails of the railway , er to make steel .  ||| 铁 的 铁路 的 铁轨 的 就 抬走 了 ， 呃 就 炼 钢铁 了 。
Er , for wood materials , local folks simply destroyed them by fire .  ||| 呃 木头 的 呢 这 老乡 就 烧 了 ｛ ｌａｕｇｈ ｝ ， 就 这样子 破坏 。
In this way , they fought the battle while at the same time destroying roads , stripping the entire 60-li-long railway from Xingtai to Neiqiu within just a few days . ||| 就 这样 ， 他们 一面 打仗 一面 破路 ， 仅 由 邢台 到 内丘 六十 里 的 铁路 ， 不 出 几 天 就 被 剥光 。
In this way , a blockade line of steel regarded as a lifeline by the Japanese army was paralyzed .  ||| 一 条 *T*-1 被 日军 视为 命脉 的 钢铁 封锁线 就 这样 瘫痪 了 。
It was a very tough battle .  ||| 打 得 非常 艰苦 ， 敌人 冲 了 几 次 ， 打 ， 打 下去 几 次 ， 死亡 非常 大 。
The enemy attacked several times , and each time they were repelled .  ||| 打 得 非常 艰苦 ， 敌人 冲 了 几 次 ， 打 ， 打 下去 几 次 ， 死亡 非常 大 。
There were extremely heavy casualties .  ||| 打 得 非常 艰苦 ， 敌人 冲 了 几 次 ， 打 ， 打 下去 几 次 ， 死亡 非常 大 。
Overseas Japanese in Yangquan City were all mobilized to participate in the battle , including children of 15 to 16 years of age . ||| 阳泉市 的 侨民 ， 日本 侨民 ， 所有 动员 起来 都 去 ， 十五六 岁 的 孩子 都 上去 打 ， 就 是 为了 （ （ ） ） ， 让 （ （ ） ） 的 侨胞们 ， 联系 起来 ， 他们 好
They wanted to have , overseas compatriots get together so that they could support one another in wiping out the Eighth Route Army and foiling our movement to destroy roads . ||| 阳泉市 的 侨民 ， 日本 侨民 ， 所有 动员 起来 都 去 ， 十五六 岁 的 孩子 都 上去 打 ， 就 是 为了 （ （ ） ） ， 让 （ （ ） ） 的 侨胞们 ， 联系 起来 ， 他们 好
The Hundred Regiments Offensive lasted three and a half months and involved two major offensive phrases and one anti-sweep phase . ||| 百团大战 历时 三 个 半 月 ， 其中 经历 了 两 个 主动 进攻 阶段 和 一 个 反扫荡 阶段 。
During the first phase from August 20 to September 10 , 1940 , a general offensive was launched on major transportation lines such as the Zhengtai , Tongpu , Pinghai , and Jinfu lines with an emphasis on destroying the Zhengtai Railway . ||| 第一 阶段 从 一九四零天 八月 二十日 至 九月 十日 ， 在 正太 ， 同蒲 ， 平汉 ， 津浦 等 主要 交通线 发动 总 攻击 ， 重点 破坏 了 正太 铁路 。
During the second phase from September 22 to early October , the mission was to continue expanding battle achievements , to destroy the flanks of transportation lines , and to penetrate puppet strongholds in anti-Japanese bases . ||| 第二 阶段 从 九月 二十二日 至 十月 上旬 ， 任务 是 继续 扩大 战果 ， 摧毁 交通线 两 侧 和 *T*-1 深入 各 抗日 根据地 的 敌伪 据点 。
During the third phrase from October 6 to December 4 , the main task was to counterattack a retaliatory sweep by the Japanese army and puppet army . ||| 第三 阶段 从 十月 六日 至 十二月 四日 ， 主要 任务 是 反击 日伪军 的 报复 扫荡 ，
The Eighth Route Army smashed successive large-scale sweep operations launched by the Japanese army and puppet army against anti-Japanese bases in Taihang , Taiyue , Pingxi , Beiyue , and northwest areas of Shanxi , among others . ||| 八路军 先后 粉碎 了 日伪军 对 太行 ， 太岳 ， 平西 ， 北岳 ， 晋西北 等 抗日 根据地 的 大 规模 扫荡 。
To those who have never experienced wars , wars are vivid stories .  ||| 对于 *T*-1 没有 经历 过 战争 的 人 来说 ， 战争 是 生动 的 故事 ， 对于 *T*-2 经历 过 战争 的 人 来说 ， 战争 是 人生 的 历程 ， 是 生命 的 一 部分 。
To those who have experienced wars , war is the course of life , part of life .  ||| 对于 *T*-1 没有 经历 过 战争 的 人 来说 ， 战争 是 生动 的 故事 ， 对于 *T*-2 经历 过 战争 的 人 来说 ， 战争 是 人生 的 历程 ， 是 生命 的 一 部分 。
There are ,  ||| 有 个 （ （ ） ） ，
At that time , the Hundred Regiments Offensive greatly encouraged the vast numbers of soldiers and civilians , with news of fighting spreading rapidly throughout the Taihang Mountain area . ||| 百团大战 在 当时 就 极 大 的 鼓舞 了 广大 军民 ， 战斗 的 事迹 迅速 在 太行 山区 流传 。
Few of the veterans who participated in the Hundred Regiments Offensive are still alive .  ||| *T*-1 参加 过 百团大战 的 老 兵 *T*-2 健在 的 已经 不 多 了 ， 说起 百团大战 他们 总是 那么 兴奋 。
When they speak of the Hundred Regiments Offensive , they are always so excited .  ||| *T*-1 参加 过 百团大战 的 老 兵 *T*-2 健在 的 已经 不 多 了 ， 说起 百团大战 他们 总是 那么 兴奋 。
Everyone has their own memory , has the Hundred Regiments Offensive as their own memory .  ||| 每 一 个 人 都 有 自己 的 记忆 ， 都 有 自己 记忆 中 的 百团大战 。
; er , I got five bullets .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
I carried these five bullets with me in my pocket .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
I took them out for a look every day .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
Hey , this was my life .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
Hey , this was my life .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
I could not lose them .  ||| 给 我 了 五 发 弹 ， 呃 得 了 五 发 弹 ， ｛ ｌａｕｇｈ ｝ ， 这 五 发 弹 ， 我 就 随身 带 ， 装 在 口袋 里 ， 一 天 就 拿 出来 看 哪 这 ，
The squad leader said , at the time when you are given a rifle , you need to shoot .  ||| 班长 说 到时候 发 了 得 了 枪 了 放 ， 你 给 我 放 ， 我 看 着 ， 你 打 不 到 敌人 回来 就 处分 你 。
I will watch .  ||| 班长 说 到时候 发 了 得 了 枪 了 放 ， 你 给 我 放 ， 我 看 着 ， 你 打 不 到 敌人 回来 就 处分 你 。
If you fail to shoot the enemy , I will punish you when you come back .  ||| 班长 说 到时候 发 了 得 了 枪 了 放 ， 你 给 我 放 ， 我 看 着 ， 你 打 不 到 敌人 回来 就 处分 你 。
Do you know lice ?  ||| 虱子 知道 吧 ， 就 是 咬 着 ， 怎么 烫 啊 ？
They bite .  ||| 虱子 知道 吧 ， 就 是 咬 着 ， 怎么 烫 啊 ？
How do you scald them ?  ||| 虱子 知道 吧 ， 就 是 咬 着 ， 怎么 烫 啊 ？
Hey ,  ||| 哎
Well , you boil some water and get something like gunpowder .  ||| 然后 烧 点 水 ， 弄 点 火药 什么 的 ， 把 你 的 裤子 解开 ， 一 喷 ， 就 这么 一 攥 ， 你 再 一 涂弄 ， 是 听见 底下 呱呱呱呱呱 的 响 ｛ ｌａｕｇｈ ｝ 唉 ， 烫 虱子
Then you loosen your pants and sprinkle it .  ||| 然后 烧 点 水 ， 弄 点 火药 什么 的 ， 把 你 的 裤子 解开 ， 一 喷 ， 就 这么 一 攥 ， 你 再 一 涂弄 ， 是 听见 底下 呱呱呱呱呱 的 响 ｛ ｌａｕｇｈ ｝ 唉 ， 烫 虱子
Clench it like this .  ||| 然后 烧 点 水 ， 弄 点 火药 什么 的 ， 把 你 的 裤子 解开 ， 一 喷 ， 就 这么 一 攥 ， 你 再 一 涂弄 ， 是 听见 底下 呱呱呱呱呱 的 响 ｛ ｌａｕｇｈ ｝ 唉 ， 烫 虱子
Then , you shake it , and you hear a cracking sound on the ground ; hey , scalded lice .  ||| 然后 烧 点 水 ， 弄 点 火药 什么 的 ， 把 你 的 裤子 解开 ， 一 喷 ， 就 这么 一 攥 ， 你 再 一 涂弄 ， 是 听见 底下 呱呱呱呱呱 的 响 ｛ ｌａｕｇｈ ｝ 唉 ， 烫 虱子
A washbasin was also very precious .  ||| 一 个 脸盆 哎 也 是 很 宝贵 的 ， 这个 脸盆 是 怎么 办 呢 ，
How was the washbasin used ?  ||| 一 个 脸盆 哎 也 是 很 宝贵 的 ， 这个 脸盆 是 怎么 办 呢 ，
You used the washbasin to wash your feet , used the washbasin to hold your meal , used the washbasin to wash your face , and sometimes used the same washbasin to boil water . ||| 洗 脚 用 的 是 个 脸盆儿 是 啊 ， *pro* 打饭 用 的 是 个 脸盆儿 ， *pro* 洗脸 用 这个 脸盆儿 ， 有时候 烧 水 还 用 的 这个 脸盆儿
So , this washbasin was a precious washbasin .  ||| 洗 脚 用 的 是 个 脸盆儿 是 啊 ， *pro* 打饭 用 的 是 个 脸盆儿 ， *pro* 洗脸 用 这个 脸盆儿 ， 有时候 烧 水 还 用 的 这个 脸盆儿
This photo taken back then by Eighth Route Army field correspondent Xu Xiaobing is a snapshot of Peng Dehuai directing the campaign at the frontline of the Hundred Regiments Offensive . ||| 当年 八路军 战地 记者 徐肖冰 拍摄 的 这 张 照片 ， 记录 了 彭德怀 在 百团大战 前线 指挥 作战 的 一 瞬间 。
Just as Mao Zedong once praised : Who dares wield his sword and make his horse rear ?  ||| 正 像 毛泽东 曾经 夸赞 的 ， 谁 敢 横刀 立马 ， 唯 我 彭 大将军 。
Only our great General Peng .  ||| 正 像 毛泽东 曾经 夸赞 的 ， 谁 敢 横刀 立马 ， 唯 我 彭 大将军 。
Correspondent Xu Xiaobing , covering frontline news at the time , snapped the shutter while artillery fire roared overhead . ||| *T*-1 当时 正 在 前线 采访 的 记者 徐肖冰 ， 冒着 *T*-2 头顶 呼啸 的 炮火 按下 了 快门 。
More than 60 years later , Xu Xiaobing still vividly remembers the scene at that time .  ||| 六十多 年 后 ， 徐肖冰 对 当时 的 情景 依旧 记忆犹新 。
Dehuai was sitting in this trench directing the campaign .  ||| 德怀 就 坐 在 这个 战壕 上面 指挥 这个 作战 ，
Oh .  ||| 噢 。
Bullets and artillery fire whistled past his head .  ||| 那个 子弹 ， 炮弹 都 在 他 身边 ， 都 他 头上 唰唰唰 那么 飞 过去 。
During the three and a half months from August 20 to December 5 , 1940 , the Eighth Route Army fought a total of 1 ,824 battles large and small . ||| 从 一九四零年 八月 二十日 到 十二月 五日 的 三 个 半 月 中 ， 八路军 共 进行 大小 战斗 一千八百二十四 次 ，
A total of 46 ,480 Japanese soldiers and puppet soldiers were killed , wounded , or captured , or defected .  ||| 共 计 毙伤俘 和 投诚 日伪军 达 四万六千四百八十 人人 ，
Four hundred seventy-four kilometers of railroad and 1 ,502 kilometers of highway were destroyed .  ||| 破坏 铁路 四百七十四 公里 ， 公路 一千五百零二 公里 ，
In addition , large quantities of other military supplies were seized or destroyed .  ||| 还 缴获 和 破坏 了 其他 大量 军用 物资 。
After the Eighth Route Army launched the Hundred Regiments Offensive , newspapers from areas behind enemy lines in North China to the large rear area continuously carried news of victories . ||| 八路军 发动 百团大战 后 ， 从 华北 敌后 到 大后方 的 报刊 都 在 不断 刊登 胜利 的 消息 。
Telegrams and letters of congratulation arrived in Yan 'an from all directions .  ||| 祝捷 电文 ， 信件 从 四面八方 飞向 延安 。
Mao Zedong was deeply moved .  ||| 毛泽东 深 受 感染 ， 这 位 *T*-1 有 着 强烈 诗人 气质 的 领袖 用 这样 一 封 电报 表达 了 他 喜悦 的 心情 。
This leader with a strong poetic temperament expressed his joy in this kind of telegram .  ||| 毛泽东 深 受 感染 ， 这 位 *T*-1 有 着 强烈 诗人 气质 的 领袖 用 这样 一 封 电报 表达 了 他 喜悦 的 心情 。
The Hundred Regiments Offensive caused great excitement .  ||| 百团大战 真 是 令 人 兴奋 ， 像 这样 的 战斗 是否 还 可以 再 组织 一 两 次 ？
Can such kind of campaign be organized once or twice more ?  ||| 百团大战 真 是 令 人 兴奋 ， 像 这样 的 战斗 是否 还 可以 再 组织 一 两 次 ？
In a congratulatory telegram to Zhu De and Peng Dehuai , Chiang Kai-Shek praised the Eighth Route Army 's resolute attacks for dealing a heavy blow to the enemy . ||| 蒋介石 在 *pro* 给 朱德 ， 彭德怀 发来 的 嘉奖电 中 夸赞 说 ， 八路军 断然 出击 ， 予 敌 甚 大 打击 。
By pinning down large numbers of Japanese soldiers on battlefields behind enemy lines in North China , the Hundred Regiments Offensive delayed the Japanese army 's aggression southward . ||| 百团大战 将 大量 日军 牵制 在 华北 敌后 战场 ， 迟滞 了 日军 南进 步伐 ， 不仅 如此 ， 百团大战 还 策应 了 欧洲 战场 ， 同时 也 提高 了 中国 共产党 和 八路军 的 国际 声誉 ，
In addition , the Hundred Regiments Offensive was a response to the European battlefield , while enhancing the international reputation of the CPC and the Eighth Route Army . ||| 百团大战 将 大量 日军 牵制 在 华北 敌后 战场 ， 迟滞 了 日军 南进 步伐 ， 不仅 如此 ， 百团大战 还 策应 了 欧洲 战场 ， 同时 也 提高 了 中国 共产党 和 八路军 的 国际 声誉 ，
The Hundred Regiments Offensive wrote a glorious page in the history of China 's War of Resistance against Japan .  ||| 百团大战 在 中国 抗日 战争史 上 写下 了 光辉 的 一 页 。
On June 30 , 1987 , the Monument to the Hundred Regiments Offensive was erected on Shi 'nao Mountain in Yangquan , Shanxi , where the heroes had fought the battle . ||| 一九八七年 六月 三十日 ， 山西 阳泉 狮脑山 ， 这个 英雄 战斗 过 的 地方 ， 百团大战 纪念碑 竖立 起来 。
In 1993 , six villagers in Honghecao Village set up the Hundred Regiments Offensive Museum at the place of Nie Rongzhen 's operational command . ||| 一九九三年 ， 洪河槽村 的 六 个 村民 在 当年 聂荣臻 指挥所 址 办起 了 百团大战 纪念馆 。
Old Li Jingtang still tells visitors old war stories circulating in the Taihong Mountain area .  ||| 李景堂 老人 仍 在 向 *T*-1 前来 参观 的 人们 讲述 着 *T*-2 流传 在 太行 山区 的 战争 往事 。
More than 60 years have passed since the Hundred Regiments Offensive took place .  ||| 百团大战 过去 六十多 年 了 ， 太行山 永远 铭记 着 中国 人民 抗日战争 中 那 场 伟大 的 战斗 。
Taihang Mountain will forever remember that great battle during the Chinese people 's War of Resistance against Japan .  ||| 百团大战 过去 六十多 年 了 ， 太行山 永远 铭记 着 中国 人民 抗日战争 中 那 场 伟大 的 战斗 。
During World War II , the two hundred thousand strong Chinese Expeditionary Force went abroad to fight .  ||| 第二 次 世界 大战 二十万 中国 远征军 出国 作战 ，
The Burma Road was the lifeline artery for China 's anti-Japanese battlefields .  ||| 滇缅 公路 是 *pro* 为 中国 抗日 战场 输血 的 生命线 ，
The Tengchong Battle , an annihilation of the Japanese army , became a typical example for the China war area .  ||| 腾冲 攻坚战 ， 全 歼 日军 成为 中国 战区 的 一 个 典范 ，
We respectfully invite you to watch a bloody battle fought side-by-side by China , the US , and Britain 60 years ago in a joint effort to repel Japanese invaders . ||| 敬请 *PRO* 收看 六十 年 前 中 ， 美 ， 英 三 国 军队 并肩 作战 ， 共同 抗击 日寇 的 一 场 血战 。
Hello , everyone .  ||| 各位 好 ， 这里 是 中央 电视台 国际 频道 的 海峡 两 岸 ，
This is Across the Strait on CCTV International Channel .  ||| 各位 好 ， 这里 是 中央 电视台 国际 频道 的 海峡 两 岸 ，
We welcome you to watch .  ||| 欢迎 大家 的 收看 ！
First , let 's check out the main contents of today 's program .  ||| 首先 一起 来 关注 今天 节目 的 主要 内容 。
On August 17 , Taiwan 's investigation department and police held a press conference announcing the closing of the March 19 shooting case . ||| 八月 十七号 ， 台湾 的 检察 部门 和 警方 召开 记者会 ， 宣布 三幺九 枪击案 结案 ，
Since the suspect identified by Taiwan police mysteriously died after the March 19 shooting incident , the case was not prosecuted . ||| 由于 台湾 警方 认定 的 作案 嫌疑人 在 三幺九 枪击案 发生 以后 神秘 死亡 ， 所以 此 案 以 不 起诉 处理 。
However , people from various circles in Taiwan think there are many suspicious points in this case .  ||| 但 台湾 各界 人士 认为 此 案 还 有 很多 疑点 。
On August 17 , the Taiwan military held the Lianhsing 94 amphibious landing exercise , testing and enhancing the army 's response capabilities and its combat ability in repelling an enemy 's amphibious landing . ||| 八月 十七号 ， 台军 举行 了 联兴 九十四 号 两栖 登陆 演习 ， 验证 在 遭到 敌军 两栖 进攻 时 ， 台军 的 应变 能力 和 反登陆 作战 能力 。
Taiwan 's investigation department and police announced the closing of the March 19 shooting case .  ||| 台湾 检察 部门 和 警方 宣布 三幺九 枪击案 结案 ， 那么 为什么 台湾 检察 部门 称 这 是 结案 而 不 是 三幺九 枪击案 的 真相 到底 是 什么 ？
Well , why did Taiwan 's investigation department say this was the closing of the case instead of the actual truth about the shooting case ? ||| 台湾 检察 部门 和 警方 宣布 三幺九 枪击案 结案 ， 那么 为什么 台湾 检察 部门 称 这 是 结案 而 不 是 三幺九 枪击案 的 真相 到底 是 什么 ？
Scholars will give you a detailed analysis on this edition of Hot Topic Analysis .  ||| 本 期 的 热点 透视 中 学者 将 详细 地 分析 。
On August 17 , Taiwan 's investigation department and police solved the case and announced the March 19 shooting case was closed . ||| 八月 十七号 ， 台湾 的 检察 部门 和 警 破案 呢 ， 三幺 宣布 三幺九 枪击案 结案 ， 此 案 将 不予 起诉 。
This case will not be prosecuted .  ||| 八月 十七号 ， 台湾 的 检察 部门 和 警 破案 呢 ， 三幺 宣布 三幺九 枪击案 结案 ， 此 案 将 不予 起诉 。
